stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.5,909.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02,0,0,0,0,0,0,0,0,0,0
  5-6,36.61,723.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,43.31,11.12,0,26.62,0,0,214.23,0,0,0,0,0,29.61,0,0,0,0,0,0,0,0,0,0,0,670.24,80.68,0,0,208.77,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,53.23,0,36.69,0,0,121.21,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,1130.33,44.31,0,0,205.01,0,0,4.94,0,61.91,0,0,0,0,0,0,0
 14-21,0,0,2.14,1.3,16.89,1.81,12.71,0,0,0,32.94,0,0,0.97,0,0,0,0,24.42,1.13,8.31,1.89,0,1.05,467.35,5.56,20.58,9.95,9.32,0,0,2.03,8.08,13.58,5.65,207.49,0,0,1.69,0,0
 24-34,0,0,6.26,0.59,11.79,0,43.16,0,0,0.63,46.97,0,0,0.67,0,0,0,4.7,0.66,0,25.99,0,0,8.28,1703.1,0.73,75.03,4.05,0,0,6.03,0,0,6.33,2,363.53,0,0,0,0,1.75
 36-46,0,0,1.72,0,1.4,0,392.71,0,0,0.64,136.53,0,1.26,0.72,2.39,0,0,0,0,0,14.97,0,0,3.51,3701.73,4.61,70.54,5.21,0,0,2.24,0.81,0,7.97,0,635.75,0,0.62,1.81,0,5.34
 48-58,0.39,0,0.54,0,20.64,0,1016.19,0,8.08,0.56,327.11,4.47,0,1.87,0,0,13.52,2.47,0,3.56,33.3,0,0.89,3.63,3952.59,10.92,34.09,4.84,0,0,1.88,0.56,0,2.86,0,759.01,0,0.42,0,0,4.53
 60-70,0,0,0,0,8.65,0,1472.02,0,3.22,5,349.81,0,0,0,4.2,0,0,10.77,0,14.34,50.76,0.65,1.65,4.62,2922.22,0,29.21,0,0,0,6.48,0,0,0.63,0,396.98,0,2.63,0,0.64,1.44
 72-82,0,0,4.48,0,9.74,2.87,1215.02,5.3,0,4.89,326.98,0.66,0.5,0,2.2,0,0,3.92,6.15,0,54.99,0,1.39,5.84,1941.49,0,48.57,10.76,0,0,0,0,0,2.34,0,288.02,0.78,3.47,1.04,0.75,0
 84-94,0,0,12.68,1.01,5.5,2.83,764.24,0,0,2.11,217.62,2.97,0,0.7,5.19,3.11,1.84,1.16,0,0,37.65,0,3.11,2.78,1126.8,0,28.99,7.23,0,0,3.99,0,0,1.09,0,165.58,2.61,0,1.82,2.03,4.79
 96-106,0,0,5.63,0,11.34,4.98,727.75,0,0,0,264.63,5.87,0,1.96,5.44,0,0,3.62,1.95,0,25.85,0,0,2.79,944.94,0,61.98,14.32,0,0,0.8,0,0,0,0,110.2,0,0,0,0,0
108-118,0,0,2.36,0,13.24,1.38,561.45,0,0,0,245.13,1.56,0,0,0.86,1.24,0.94,4.44,0,0,39.15,0,3.29,2.51,1309.19,0,27.42,13.13,0,1.31,0.78,0.42,0,3.76,0,53.99,0.98,0,2.33,2.72,0
120,0,0,3.73,3.17,19.33,3.6,682.86,0,0,19.42,294.25,7.14,0,2.27,12.14,0,6.33,0,13.85,0,34.36,0,0,6.7,1689.93,3.39,27.55,23.5,0,0,5.64,0,0,2.39,0,30.63,0,2.2,0,0,0
