stage,axial,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,periderm
  5-6,6.75,0,0,0,0,0,0,0,0
 14-21,0,1.14,0,0,0,0,0,0.89,0
 24-34,0,0.89,0,0,0,0,0.64,6.53,0
 36-46,0,7.25,0,1.11,0,0,0,1.03,0
 48-58,0,7.05,0.65,0,0,0,1.39,2.6,1.48
 60-70,0,5.21,0,0,0,1.12,0,0.82,8.73
 72-82,0,26.48,0,0,0,0,0,0,0
 84-94,0,25.32,0,0,0,0,0,0,0
 96-106,0,15.68,0,0,0.66,0,0,0.97,0
108-118,0,12.94,0,0,0.57,0,0,0,0.8
120,0,53.5,0,0,0,0,0,0,0
