stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,11.11,12.68,0,0,93.09,0,0,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.45,10.83,0,0,207.59,0,0,0,0,0,0,0,0,0,0,0,152.74,7.81,0,0,6.86,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,18.96,0,0,0,0,0,0,5.55,0,0,0,0,0
 24-34,0,0,1.28,0,1.35,0,0,0,0,0,0,0,0,0,0,0,204.37,0,0,2.24,0,0,0.86,43.44,0,0,0,0,0
 36-46,0,0,1.07,0,15.1,0,0,0,15.87,0,0,0,0,3.52,0.58,0,621.97,0,0,0,0,0,0,54,0,0,0,0,0
 48-58,0,0,1.87,0,63.4,0,0,0,56.13,0.38,0,1.21,0,0,4.34,0,1170.03,0,0,0.83,0,0,0,108.41,0,0,0,0,0
 60-70,0,0,6.2,0,203.89,0,0,0,54.3,0,0,0.8,0,1.58,1.48,0,1405.51,0,0,1.16,0,0,0,161.55,0,0,0,0,0
 72-82,0,0,7.84,0.5,184.45,0,0.92,0,76.51,1.68,0,0,0,5,25.16,0,1543.31,0,0,3.09,0,1.02,0,124.66,3.84,0,6.82,0,4.1
 84-94,0,0,4.57,0,161.29,0,0,0,40.87,0,1.18,0,0.67,0,3.07,0,836.06,0,2.7,1.81,0,2.49,0,72.74,0,2.41,1.52,0,4.76
 96-106,0,0,9.62,12.33,147.63,1.41,4.4,0,54.78,0,0,0,0,8.26,19.66,0,834.94,0,0,4.55,0,4.55,0,39.45,0,0,0,0,0
108-118,0,0,9.44,0,130.9,0,1.29,1.06,71.81,0,0,0,0,0,6.51,0.5,1014.48,0,0.7,12.73,0,8.15,0,41.37,0,0,0,0,0
120,0,0,25,0,237.4,0,0,0,69.36,0,0,0,0,2.53,30.82,0,1145.79,0,0,5.68,0,0,0,79.45,0,0,0,3.77,0
