stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.58,190.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,218.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.29,55.87,0,0,0,0,0,82.4,0,0,0,0,0,71.23,0,0,0,0,0,0,0,0,0,751.25,40.05,0,0,375.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.41,0,102.91,0,8.32,0,30.77,0,0,0,0,0,43.85,0,0,0,0,0,0,0,0,0,1149.64,52.03,0,0,391.3,0,0,0,0,0,0,14.9,0,0,0,0,0,0
 14-21,0,0,0,6.6,48.97,30.4,0,12.01,0,0,0,2.1,0,0,0,0,0,0,15.91,32.48,0,0,122.04,91.21,0,0,0,0,0,6.66,1.12,42.09,1.85,13.81,541.86,30.09,0,0,16.49,0,0
 24-34,0,0,0,3.42,4.95,2.33,0,45.02,0,10.63,0.97,4.87,0,2.59,11.07,0,1.18,0,3.98,51.21,0,0,88.65,127.42,0,4.09,0.98,0,0,0,0,0,2.28,2.18,72.02,17.1,0,0,104.09,0,0
 36-46,0,0,0,0,4.17,1,0,30.21,0.64,11.5,1.15,6.09,0.56,2.52,1.05,0,0,0,0,97.24,0,0,48.17,238.66,0.65,1.14,0.61,0,0,10.4,0,0,0,2.33,0.96,41.95,0,0,48.38,0,0
 48-58,0,0,0,0,4.18,0.45,0,102.2,0.6,5.57,4.31,25.93,1.98,0,2.84,0,0,4.35,0,92.03,0,0,41.64,339.16,0,3.98,1.62,0,0,3.91,0,0,0.46,0,0,48.89,0,0,75.02,0,0
 60-70,0,0,0,0,14.5,0,0,314.64,0,8.74,1.73,28.58,0,0,3.8,0,0.86,0,0.72,135.46,2.4,0,26.95,548.95,0,1.19,0,0,0,4.36,0,0,0,0,0,98.33,0,5.4,91.61,0,0
 72-82,0,0,1.14,0,15.17,2.46,0,591.61,0,4.87,5.03,36.06,1.65,0,0.51,0,1.04,0,0,108.36,1.19,1.11,16.23,719.69,0,1.01,5.05,0,0,7.12,0,0,0,0,0,70.87,2.47,1.55,183.5,0,5.25
 84-94,0,0,0,0,10.14,2.16,0,360.97,0,21.18,1.59,29.05,2.36,0.71,5.29,0,3.64,0.57,1.81,156.84,0,5.33,19.86,438.76,0,0.99,3.74,0,0,0,0,0,0,0,0,33.65,4.99,2.93,137.43,0.77,0.55
 96-106,0,0,0,0,17.21,11.23,0,386.67,0,8.4,0,25.75,1.79,0,0.78,0,9.46,0,0.66,105.02,0,0,10.9,427.49,0,2.97,1.86,1.2,0,4.31,0,0,1.71,0,0,34.81,3.88,0,92.69,0,4.47
108-118,0,0,0,0,34.82,0,6.14,288.42,0,24.98,1.58,35.46,0,0,0,0.91,6.92,9.91,0,83.09,2.81,1.99,8.77,476.15,0,0,0,0,1.83,8.2,0,0,1.69,0,0,17.56,0,0,135.87,0,1.5
120,0,0,0,0,23.75,2.57,0,320.97,0,10.21,3.89,78.87,1.92,0,0,0,3.9,0,0,99.85,0,0,22.03,807.13,6.66,3.8,0,0,0,8.14,0,0,1.22,0,0,2.89,6.05,0,107.14,0,0
