stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,5.93,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,1.51,0,0,0,0,4.24,0,0,0,0
 24-34,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,0,6.04,0,0,0.74,0,36.78,0,0,0,0
 36-46,0,0,0,3.08,1.39,0,0,0,0,0,0,0,0,0,0,0,0,317.12,0,13.82,0,0,0,0,48.2,0,0,0,0
 48-58,0,0.39,0,23.06,0,0,6.01,0,0,0,0,0,0,2.61,0,0,10.27,536.56,0,3.42,3.26,0,2.14,0,92.78,0,0.77,0,0
 60-70,0,0,0,84.13,0,2.29,9.24,0,0,0,0,0,0,3.31,0,0,0,948.21,5.48,0,0,0,0,0,117.66,0,0,0,0
 72-82,0,2.22,2.43,211.81,4.54,0,3.19,0,0,0,0,0,0,6.79,0,6.78,0,1064.04,0,5.69,0,0,0,0,69.27,1.33,0,4.01,4.63
 84-94,0,2.47,8.7,136.06,0,0,6.65,0,0,0.65,0,0,2.93,6.41,0,0,0,706.37,0.65,4.04,0,0,0,0,98.24,0,0,0,0
 96-106,0,1.36,4.7,148.08,0,0,10.05,1.29,0,0,0,5.82,0,10.14,0,4.55,3.33,706.06,0,4.51,0,0,0.57,0,45.1,0,0,0,0
108-118,0,8.77,0.69,131.52,0.6,0,8.61,0.6,0,0,1.01,0,2.03,11.44,6.69,0,0.92,616.68,0,6.79,0,0,4.99,0.84,22.47,3.66,0,0,0
120,0,7.94,0,189.69,0,0,39.45,0,0,0,0,0,0,27.37,0,0,0,1309.39,0,27.78,0,0,0,0,51.99,4.55,12.8,0,0
