stage,blastomeres,eye,glial,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,spinal.cord,vasculature
  3-4,61.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7,9.5,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0
 24-34,0,0,0,0,0,0,3.32,0,0,3.73,0,0,3.06,0
 36-46,0,0,0,1.17,0,0,1.95,0,0,0,0,0,0,0
 48-58,0,0,0,4.72,0.5,0,0.87,0,0,1.22,0,0,0,0
 60-70,0,0.86,0.85,2.32,0,1.34,1.61,0.85,0.84,4.89,0,1.19,0,0
 72-82,0,6.59,0,3.82,0,0.98,7.88,0,0.96,5.48,0,0,0,0
 84-94,0,0,0,12.56,0,0,0.61,1.17,0,1.86,0,0,0,0
 96-106,0,0,0,6.23,0,0,0.56,0,0,0,0,1.77,0,3.09
108-118,0,0,0.8,13.05,0,0.98,0,0,0,0.8,0,0,0,0
120,0,7.17,0,28.14,0,0,0,0,0,8.35,0,0,0,0
