stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,36.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.7,1.05,0,0,0,0,0,0,1.7,0,0,0,0,5.97,0,6.1,0,0.98,32.4,6.38,0,0,0,0,1.36,75,0,0,0
 24-34,0,0,0.6,0,2.64,0,4.78,0,0,0,2.4,0,0,0,0,0,20.53,0,10.86,0,6.54,430.49,10.1,0,1.15,0,2.7,0,406.56,0,5.52,0
 36-46,0,0,0,0.94,0,0,3.34,3.63,2.95,0,0,0,0,0,0,0,9.39,0,20.13,0,0.87,423.72,0,0,0,0,0,0,426.89,0,0,4.56
 48-58,0,0,0,0.91,0,0,24.9,7.81,0,0,4.89,0,0,0,0,0,9.8,6.25,14.89,0,1.22,417.2,0,0,3.67,0,0,0,183.56,0,0.61,2.29
 60-70,0,0,0,5.42,0.68,0,48.43,4.45,6.08,0,10.21,0,0,0,0,0,9.16,0,14.11,0,0,517.23,0,2.07,0,0,0,0,189.42,0,3.46,0
 72-82,0,1.43,0,0.71,0,0,161.59,1.1,0,0,17.9,0,0,1.18,0,0,12.53,0,17.78,0,2.94,514.02,0,0,2.6,1.94,1.5,0,117.29,0.81,0,0
 84-94,0,0,0,3.72,0.59,0.8,129.91,0.79,0.9,1.21,11.41,0,0,0,0,3.41,42.02,0,17.19,3.37,1.78,378.76,1.25,0,0,0,0.6,0,118.92,0.64,0,0
 96-106,0,0,0,0,8.19,0,116.98,1.15,0.58,0,20.3,1.72,0,0,0,1,17.52,0,5.91,0,1.81,432.56,2.26,2.14,6.82,0,6.91,0,43.11,0,2.84,13.31
108-118,0,0,0,7.9,1.56,0,274.58,10.42,0,1.04,10.04,0,0,0.64,0,0,31.49,5.7,16.76,0,1.94,459.87,0,3.83,5.26,0,1.63,0,34.19,0,2.48,7.71
120,0,0,0,6.53,1.76,0,179.53,19.31,10.7,0,5.41,0,0,0,3.69,0,36.57,0,16.57,0,1.11,668.72,0,0,1.85,0,1.99,0,8.02,0,0,0
