stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.53,731.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,13.14,515.15,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.02,11.24,0,0,23.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.29,54.65,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,3.4,47.13,2.1,0,0,0,0,7.12,4.12,0,0.84,0,0,0,0,0,0,20.05,0,0,6.81,197.22,17.68,5.41,4.47,1,0,0.98,1.23,9.14,6.62,8.68,145.65,0,0,2.96,0,0
 24-34,0,0,1.22,0.65,1.24,0,9.08,0,2.24,0,3.33,1.02,3.85,1,0.88,0,0,2.09,0,3.63,31.75,0,0,13.49,503.84,2.4,16.39,12.36,0,0,9.93,0,0,8.71,4.38,180.75,0,0,13.12,0,0
 36-46,0,0,1.95,0,5.97,0,50.57,1.61,0,4.91,23.02,0,0,0.57,0,0,0,1.38,0,0,39.81,0,0.8,14.41,929.67,0,13.56,15.67,0,0,13.62,0,0,2.81,0,214.58,0,0,0,0,0
 48-58,0,0,0,0.53,10.75,0.69,293.95,0,7.14,1.64,62.79,0,0,1.14,0,0,0,2.7,0,12.04,84.83,0,6.13,19.63,1371.81,5.5,8.78,8.98,0,0.61,5.77,0,0,2.46,0,205.52,0,0,3.48,0,0
 60-70,0,0,0,0,4.15,0,555.03,0,8.79,10.49,90.04,0,0,0,0,7.1,0,3.25,0,5.25,139.92,0,3.25,12.25,1407.13,0,4.42,27.45,0,1.92,5.87,0,0,0,0,161.25,0,0.82,0,0,0
 72-82,0,0,2.9,0,17.97,7.62,600.73,0.75,0,2.14,124.33,2.53,0,2.28,0,0,0,4.89,0,3.31,192.15,1.79,5.13,6.61,1349.7,0.57,8.37,45.54,0,0,3.8,0,0,4.78,0,136.04,2.78,4.19,13.56,4.11,6.47
 84-94,0,0,1.15,0,27.46,0,465.01,0.7,0,18.89,112.37,6.09,0,0.88,1,0,0,8.34,0,0,193.57,0,4.08,17.11,1096.22,0,10.01,81.57,0,0,0,0,0,1.63,0,94.17,16.31,6.24,0,5.13,9.43
 96-106,0,0,2.15,0,26.1,15.6,371.3,0,0.65,10.17,126.51,3.64,0,3.02,1.38,2.65,0,23.52,4.79,0,210.85,3.16,15.65,11.8,731.7,0,14.73,81.84,0,4.54,9.56,0,0,1.75,0,58.58,12.46,0.67,6.3,2.14,0.75
108-118,0,0,4.84,0.59,12.47,2,409.48,0,0,3.38,126.74,5.01,0,0.69,2.29,0.44,1.64,20.38,0,0,253.04,0,3.87,4.43,1370.14,2.96,13.8,62.43,0,7.44,1.33,0,0,1.54,0,35.81,3.44,0,0.94,5.61,0
120,0,0,0,0,36.82,0,383.67,1.61,0,15.37,249.55,30.09,0,1.85,8.84,1.05,0,17.41,1.57,0,158.47,0,1.38,21.4,1471.66,6.13,5.05,49.31,0,0,2.93,0,0,0,0,53.02,7.46,2.35,5.43,19.49,3.63
