stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,heart,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.5,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,5.93,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,27.84,0,0,0,19.86,0,0,0,0,0,0
 14-21,0,0,1.09,1.94,0.87,0,0,0,0,2.53,0,0,1.71,1.89,0,0,0,2.73,1.11,1.04,0,1.25,0
 24-34,0,0,2.21,0.71,0,0,0,0,0,0,0,1.57,53.96,0,0,0,0,0,0,1.26,10.82,0,0
 36-46,0,0,1.18,13.01,0.92,1.68,0,0,0,0.57,0,0,303.96,0,0,0,0,0,0,0,25.02,0,0
 48-58,0,0,0,42.17,0.63,2.74,0.9,0,0.6,4.48,0,1.45,366.96,0,0.47,0.64,0,0,0,0,43.65,0,0
 60-70,0,0,0,84.23,0,10.62,0,0,0,4.11,0,1.78,412.55,0,0,0,0,0,0,0,44.65,0,0
 72-82,0,0,0.68,58.56,0.69,3.77,0,1.33,0,2.26,0,0,270.33,0,0,0,0,0,0,0,16.57,0,0
 84-94,0,0,0.83,74.61,1.21,0,0,0,0,0.85,1.03,0,203.99,0,0,0,0,0,0,0,15.69,0,0
 96-106,0,0,1.18,34.88,0,1.56,0.78,0,0,0.7,0,0,130.47,0,1.83,0,0,0,0,0,4.35,0,2.37
108-118,0,4.9,1.38,21.42,0,0,0,0,0,3.18,0,0.49,134.11,0,0,0.78,0,0,0,0,0,1.07,0
120,0,0,0,19.22,5.36,0,0,0,0,5.34,0,0,167.16,0,0,0,0,0,0,0,0,0,0
