stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,106.4,2709.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.74,0,0,0,0
  5-6,39.26,822.35,0,0,0,0,0,0,0,0,0,0,127.46,0,0,0,6.56,14.32,0,0,0,0
  7-9,5.17,0,0,0,0,0,0,7.25,0,0,0,0,60.05,3.34,0,0,12.92,0,50.09,0,0,0
 14-21,0,0,1,2.78,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.86,1.04,3.49
 24-34,0,0,0,1.56,0,0,0,0,1.17,15.52,0,0,6.71,0,0,0,0,0,0.86,0,0,25.8
 36-46,0,0,0,0,1.21,0,0,0,0,16.84,0,0,0,0,0,0,0,0,0,0,0,10.21
 48-58,0,0,0,0,0,0,0,0,0,24.65,0,1.64,0,0,0,0,0,0,0,0,1.48,1.77
 60-70,0,0,0,0,0.62,0,0,0,0,24.19,0,1.47,3.82,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.75,0.6,4.22,0,0,0,41.26,0,0,0,0,0,0,0,0,0,0,0,4.6
 84-94,0,0,0,0.64,0,0,0,0,0,48.59,0,0,0,0,0,0,0,0,0,0,0,0.69
 96-106,0,0,2.01,6.93,0,0,0,0,0,72.84,0,2.39,0,0,2.1,0,0,0,0,0,0,3.49
108-118,0,0,0,1.44,0,0,0.45,0,1.03,75.68,0,2.62,5.71,0,0,0.74,0,0,0,0,0,5.4
120,0,0,0,4.13,0,0,0,0,0,80.21,2.29,0,2.85,0,0,0,0,0,0,0,7.65,4.71
