stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,spinal.cord
  3-4,22.61,0,0,0,0,0,0,0
  5-6,23.14,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.16,0
 36-46,0,0,0,0,0,0,0.88,0
 48-58,0,0,0.69,0,0,0,2.47,0.51
 60-70,0,0,0,0,0,0,9.78,0
 72-82,0,0.72,0,0,0,0,7.19,0
 84-94,0,0,0,0,4.06,0,5.21,0
 96-106,0,0,0,0,0,0,8.05,0
108-118,0,0,0,1.9,0,1.6,16.73,0
120,0,0,0,6.35,0,0,0,0
