stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.5,0,11.74,8.74,0,13.72,0,0,0,2.13,0,0,1.26,0,0,0,0,3.08,0,6.53,0,0,4.67,97.42,0.81,5.28,0,0,0,1.58,0,4.43,5.42,3.6,30.68,0,0,0,0,0
 24-34,0.61,1.27,8.62,1.99,0,39.34,0,0.7,0,23.78,3.16,0,3.16,0,3.09,0,0,3.49,0,18.68,0,0.91,7.72,382.42,4.51,14.94,0.79,1.61,1.69,0,1.03,14.78,1.76,0.63,91.83,0,0,25.37,0,0
 36-46,0,0.59,8.86,16.99,0,105.53,1.31,2.72,2.64,33.69,0,0,4.93,0.63,0.65,0,0.96,0,0,25.7,0,2.03,3.29,872.61,15.52,20.5,1.77,0,7.52,0,0,25.91,14.97,0,146.24,0,0,15.24,0,3.66
 48-58,0.9,0,26.73,14.4,0,430.09,0.38,0.89,3.5,56.66,0.38,4.47,5.82,3.34,4.16,0,1.08,12.54,0,56.04,0.41,4.05,3.98,1470.63,10.31,13.26,6.59,0.96,29.25,0,0,2.02,3.58,0,214.51,0,0,15.59,0,4.15
 60-70,2.54,0.68,14.65,34.87,0,1028.97,2.72,5.51,18.32,124.69,2.65,0.97,4.6,8.76,0.71,0,2.38,0,4.11,100.99,1.51,11.58,19.23,1696.07,0.66,27.44,6.03,0.71,57.98,0,0,0.68,6.41,0,178.82,0,0.88,15.01,0,0
 72-82,1.09,0.75,24.71,226.85,0,1384.25,0.55,3.29,2.79,148.07,2.34,1.17,5.73,7.51,6.36,2.48,3.49,0.54,0,176.99,0.59,8.43,12.22,1676.6,1.52,36.75,10.41,2.22,33.58,0,0,6.73,0,0,152.69,6.92,1.05,48.27,3.97,2.8
 84-94,3.84,1.04,46.76,204.12,2.96,1150.42,2.3,5.77,8.94,158.98,4.41,1.37,3.18,11.52,14.36,9.88,0.69,4.41,3.96,149.36,1.51,21.58,17.14,1217.79,6.44,18.8,14.81,0.79,101.15,0,0,6.06,2.57,0,89.81,10.19,2.64,39.25,0,0
 96-106,0.63,0,43.74,326.67,1.06,1090.49,6.5,2.07,1.19,146.2,12.72,0,3.65,15.17,9.62,6.69,4.61,15.9,0,122.82,12.9,8.7,15.2,1006.5,1.25,48.06,11.17,4.83,63.46,0,0,4.23,1.42,0,62.78,23.89,2.4,36.3,9.94,0.73
108-118,3.33,0.59,43.98,156.07,5.06,1135.28,3.13,9.8,5.6,198.03,6.91,0,1.27,11.21,8.53,8.33,6.22,6.67,0.68,164.99,1,8.63,18.77,1322.47,2.75,13.95,14.36,4.99,65.21,0,0,3.79,2.19,0,71.62,19.73,7.28,50.69,1.96,4.04
120,0,4.45,37.99,171.22,0,1269.46,12.8,7.31,6.77,263.02,11.15,0,6.1,33.88,9.38,12.56,0,11.91,0,230.49,0,12.4,26.47,2300.33,11.53,74.02,20.04,0,71.5,0,0,9.95,1.52,0,89.92,14.82,0,50.85,0,0
