stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49,0,3.28,0,0,0,0,0,0,0,0
 10-12,32.21,22.67,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,26.48,70.92,0,0,620.66,0,0,0,0,0,96.18,0,0,0,0
 14-21,0,0.9,3.5,0,0.86,0,0,0,0,0,0,0.89,0,0,0,0,0,0,10.98,0,2.87,7.36,159.37,0,0,3.87,0,0,29.23,0,20.5,26.73,0,0,0,0
 24-34,0,0,0,0,1.14,0,0,0,6.93,0,0,6.6,0,0,0.7,0,1.54,0,12.93,0,0,86.01,15.23,1.4,0,0,0,0,0,1.87,1.73,11.77,2.22,0,0,0
 36-46,0,0,0.75,0,0,0,0,4.4,13.81,0,0,16.13,0,0,0,0,5.6,0,31.57,0,13.79,145.89,5.76,2.39,0,0,2.85,0,0,0,0,0,10.92,0,2.63,0
 48-58,0,0,0,0,4.43,1.28,0,0.39,11.71,0,0.39,10.99,0,0,0,0,0,0,134.96,0,23.41,54.4,1.19,0,0,0,0.53,0,0,0,0,0,12.37,6.5,4.13,0
 60-70,0,0,0,0,9.56,1.33,0,1.28,15.92,0,0,5.3,0,1.22,0,0,0,1.05,361.63,0,39.14,67,0,0,0,0,0,0,0,0,0,0,24.98,23.75,1.04,0.85
 72-82,0,0,0,0,18.77,0,0,3.23,19.26,2.03,0,0.53,0,0,0,0.56,0,0,405.74,4.54,29.23,37.83,0,0,0,0,1.67,0.5,0,0,0,0,3.02,19.87,8.17,2.05
 84-94,0,0,5.18,0,22.61,0,0,1.9,6.68,0,0,5.71,0,0,0,0,0,0,371.86,3.99,34.25,71.16,0,0,0,0,0,0,0,0,0,0,18.39,40.67,9.76,3.32
 96-106,0,0,0.66,0,7.26,0,0,0,18.62,0,0,4.17,1.55,0,0,0,0.62,0,211.61,3.26,30.77,42.39,0,1.05,12.05,0,0,1.92,0,0,0,0,0.87,15.45,11.17,14.43
108-118,0,0,4.25,2.65,5.15,0,0,0.88,21.29,0,0,1.42,0,0,0,0,1.5,0,354.89,2.45,19.79,31.31,0,0,0,0,0,0,0,0.81,0,0,0,15.08,10.68,7.56
120,0,0,5.88,0,8.32,0,1.11,5.31,16.07,0,0,0,0,0,0,0,0,0,440.89,0,25.32,48.14,0,0,0,0,13.3,4.65,0,0,0,0,3.79,34.67,1.78,2.01
