stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.48,633.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,558.47,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0
  7-9,0,28.98,0,0,0,0,263.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.01,13.31,0,0,318.98,0,0,0,0,0
 10-12,0,7.25,0,8.68,0,0,120.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.66,0,0,0,135.99,0,0,0,0,0
 14-21,0,0,0,0,0.94,1.05,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.45,0.93,0.85,0,0,0,24.43,0,0,0
 24-34,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,4.01,0,0,0,163.75,0,1.27,0,0,1.51,44.76,0,0,0
 36-46,0,0,0,0,0,0,11.51,0,0,0,1.43,0,0,0,0,0,0,0,0.94,0,0,0,0,0,570.08,0,3.46,0,0,0,72.68,0.68,0,0
 48-58,0,0,0,0,3.38,0.58,40.2,1.63,0,0,4.18,0,0,0,0,0,0,0,0,7.96,1.53,0,0.6,0,874.96,0,1.49,1.22,0,3.05,122.77,0,0,0
 60-70,0,0,0.89,0,6.87,0,222.96,0,0,0,2.94,0,0,0,0,0,0,0,0,0,7.99,0,0,0,1149.26,0,4.78,3,0,0,114.63,0,0,0
 72-82,0,0,0,0,3.28,0.78,204.18,0,0,0,10.79,1.68,0,1.95,0,0,0,0,0,0,6.54,0,0.63,0,1030.52,0,9.43,2.99,0,1.51,124.66,0,0,6.2
 84-94,0,0,0,0,3.38,6.49,194.36,0,0,5.92,15.53,0.84,0,0,0.76,0,0,3.4,0,3.45,12.26,0,0.72,8.7,630.07,0,6.31,0.64,0,0.77,43.01,0,2.26,5.98
 96-106,0,0,1.1,0,1.24,0,119.96,0,0,0,18.27,0,0,0,0,0,0.74,4.45,0,0,14.63,0,0,1.39,609.52,0,10.92,4.13,0,10.78,26.23,4.43,0.59,9.28
108-118,0,0,0.41,0,6.5,1.75,139.28,0,0.53,0,14.11,0,0,0,0,0,0,2.3,0,4.6,6.29,1.14,0,0,636.95,0,9.48,1.2,0,0,28.58,1.17,0,0
120,0,0,0,0,3.8,0,155.36,0,0,0,12.14,2.91,0,0,0,1.06,0,2.6,0,0,22.83,0,0,0,1192.97,0,0,18.5,0,0,23.75,0,0,0
