stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,34.56,0,9.79,0,0,0,34.59,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,221.9,10.01,0,0,81.56,686.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,55.34,0,30.26,0,0,0,27.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.94,27.74,0,0,287.58,767,17.41,3.96,38.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.25,32.65,1.04,0,2.53,0,0,0,1.22,1.2,13.99,0,0,9.3,0,0,0,0,0.82,32.96,0,1.04,49.74,44.19,0,0,0,10555.92,0,5.08,0,0,2.08,19.31,0,0,1.18,0,0
 24-34,0,0,0,0,75.67,1.49,0,45.47,0,19.07,0.74,4.07,2.53,8.07,0,0.6,52.45,0,0.63,25.54,7.91,21.02,116.96,0,12.5,676.51,1.4,10.03,3.85,0,17014.3,0,0,2.76,11.64,3.73,59.74,0,0,21.42,0,1.73
 36-46,0,0,0,0,34.74,1.35,0,26.62,1.46,60.19,0,15.31,0,2.19,0,0,39.3,0,0,0,0,17.7,94.54,0,13.77,370.33,12.89,8.98,1.34,0,12727.71,0,0,0,0,0,48.23,0,0,3.15,0,5.22
 48-58,0,0,0,0,242.93,0,0,46.14,0,76.4,0.38,6.13,5.75,0,0,0,13.97,0,0,4.43,0,21.24,45.03,10.41,1.09,168.34,3.31,1.83,0,0,5628.62,0,0,0,0,0,31.22,0,0,0.5,0,21.03
 60-70,0,0,0,0,956.53,0,0,68.28,1.06,42.06,0,17.31,26.36,5.14,0,0,29.2,0,1.2,18.25,0,6.91,24.42,0,0.68,158.47,0.75,3.39,0,0,3347.74,0,0,0,0,0,7.61,27.19,0.8,0,0,1.96
 72-82,0,0,1.33,0,2503.98,8.8,0,71.8,0,25.04,0,22.26,179.08,5.3,0,0.61,72.28,0,0,9.03,0,26.56,11.08,0.62,5.4,212.79,0,8.52,5.16,0,2006.01,0,0,0,0,0,14.01,87.97,1.61,4.51,1.75,0
 84-94,0,0,0,0,6404.93,7.93,0,114.34,6.74,97.76,1.93,19.61,421.98,0,0,3.04,325.57,0,1.72,2.88,1.84,29.59,44.74,0,4.53,215.14,0,13.64,2.42,0,4837.65,0,0,1.04,0,0,2.72,306.95,0,5.64,0.68,1.56
 96-106,0,0,3.49,0,8118.94,51.62,2.86,169.49,5.4,102.04,6.42,57.52,831.92,0,2.78,10.13,389.32,5.21,5.82,32.2,0.6,79.62,51.59,0,11.77,379.42,2.03,18.58,4.28,0,3918.53,0,0,0.9,1.07,0,2,367.19,1.51,2.92,3.62,13.45
108-118,0,0,0.84,0,8290.7,9.14,1.08,112.02,0.87,156.73,12.02,35.23,893.09,0,3.58,1.32,722.52,0,1.99,4.02,0,72.39,55.78,5.36,7.79,317.93,0.88,6.79,2.08,0,4696.4,0,0,0.68,0,0,8.44,354.09,1.31,4.36,2.65,5.69
120,0,0,0,0,6450.1,3.15,0,56.07,1.13,97.47,0,3.82,352.82,0,0,8.51,268.94,0,1.77,10.26,0,44.13,48.1,0,4.34,213.43,1.24,13.79,3.16,0,2476.58,0,0,0,0,0,31.79,131.22,0,0,0,0
