stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0.87,0,0,0,0,0.98,3.02,0,0,0,0
 24-34,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,147.05,0,0,0,0,34.56,0,12.75,0,0,0,0
 36-46,0,0.64,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,3.59,4.9,0,303.25,0,0,0,0,26.29,0,33.38,0,0,0,0
 48-58,0,1.48,0.75,15.65,0,0,0,1.38,0,0,0,0,0,0,0,0,1.12,1.97,1.52,507.64,0,0,0,3.08,33.73,2.28,34.96,0,0,0,1.52
 60-70,0.65,0,0,11.57,0,0,0,0.72,0,0.76,0,0,0,0,0,0,2.05,1.31,0,649.41,0,0.72,0,0,15.95,0,13.86,0,0,0,0
 72-82,0,2.94,0.68,33.99,0,0,0,23.88,0,0,0,0,0,0,0,0.87,3.66,0,0,905.98,0,1.18,0,0,10.85,0,19.65,0.53,1.66,0,2.08
 84-94,0,1.2,0,23.96,0,0,0,1.51,0,0,3.09,0,0.62,1.91,0,0,8.48,2.84,0,520.74,0,0,0.79,0,12.65,0,4.71,0,0.97,0,0
 96-106,0,2.38,6.99,30.11,0,0.71,0,6.38,1.02,0,0,0,0,0,0,0,14.75,0,3.41,863.78,0,0.56,1.04,1.67,21.9,0,2.54,5.89,0,0.61,0
108-118,0,0,0,14.21,0,0,0,9.45,0,0,0,0.49,0,0,0,0,8.83,0,0,855.94,0,1.47,0,0,16.83,1.88,0,1.59,1.59,0,0
120,0,7.3,2.59,53.18,15.85,0,19.12,36.85,0,0,3.53,0,0,0,18.25,0,71.8,0,3.33,1535.59,1.1,0,0,0,16.08,0,0,1.37,0,0,0
