stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,498.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.55,338.95,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22,19.79,0,31.06,0,0,25.28,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0,0,477.85,22.54,0,0,149.24,0,0,20.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.12,0,24.49,0,5.1,42.39,0,0,0,0,22.69,0,0,0,0,0,0,0,0,0,0,0,480.72,4.6,0,0,115.92,0,0,14.55,0,13.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,16.8,4.56,11.59,0,0,0,1.79,0,0.93,0,0.82,0,0,6.06,1.65,10.22,0,0,8.03,144.25,5.42,0,3.27,3.73,0,4.46,1.81,25.44,3.66,3.09,20.2,54.23,0,0,2.78,0,0
 24-34,0,0,0,1.41,2.41,2.43,27.22,2.57,2.85,6.16,0,0,0,0.65,1.95,0,0,0,0,21.8,5.46,0,8.26,349.12,0.83,4.88,4.61,0,0,24.77,0,0,3.19,0,1.39,80.21,0,0,7.93,0,0
 36-46,0,0,0,0,7.68,0,80.85,0,1.89,14.4,0,0,1.33,5.14,5.48,0,0,0,0,41.2,0,0,14.88,550.82,3.3,8.65,0,0,0,19.37,0,0,0,0.58,0,116.29,0,0,7.12,0,0
 48-58,0,0,0,0,4.28,2.22,110.59,4.29,0.5,27.39,0.41,0,0,7.61,0,0,0.43,1.56,1.32,50.79,0.94,0,4.74,377.69,0,3.25,0.38,0,0,26.52,0,0,0,0,0,76.4,0,0,10.48,0,8.94
 60-70,0,0,0,0,7.6,0,186.39,0,0.63,39.98,3.65,5.9,0,0,0,1.8,0,0,0.72,54,1.09,3.12,4,380.78,0.75,3.68,6.37,0,0,19.8,0,0,5.01,0,0,53.89,0,2.21,3.23,0,3.65
 72-82,0,0,0.87,0,7.09,8.87,119.62,1.18,2.04,43.25,0,0,2.58,1.7,0,0.59,0.81,0,0,76.65,0.73,5.62,4.85,231.64,0.66,3.98,2.1,0,0.8,8.39,0,0,0,0,0,18.75,0,2.51,6.37,7.1,0.5
 84-94,0,0,0.8,0,12.87,21.72,79.18,0,0.74,39.62,2.27,0,0.82,3.42,1.13,0.76,1.26,0.74,0,45.48,0,9.89,7.58,167.2,0.73,0.81,3.1,0,0,34.33,0,0,0.6,0,0,33.41,1.55,5.35,4.24,0,5.94
 96-106,0,0,0,0,12.07,5,85.4,0.88,2.44,38.8,3.47,0,0,5.81,3.28,0.99,2.72,0,0,91.39,0,1.14,14.88,180.29,0,5.96,2.79,0,0,26.69,0,0,0.64,0,0,3.13,3.31,0,9.55,5.85,4.69
108-118,0,0,0,0,21.29,6.51,88.97,5.12,1.3,32.39,2.26,0,0,2.99,3.61,4.93,5.72,3.99,3.91,52.7,5.99,3.93,8,247.72,1.05,3.04,7.15,0,5.49,19.59,0,0,2.38,0,0,15.02,0.6,0,9.75,0.42,5.66
120,0,0,0,0,32.31,6.24,85.66,1.8,0,44.65,1.94,0,2,3.43,5.05,4.06,0,0,0,43.04,1.47,4.29,9.42,278.2,0,7.37,0,0,13.12,26.57,0,0,1.14,0,0,16.64,11.38,2.68,9.06,0,2.59
