stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.35,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0
  5-6,0,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.62,0,4.01,0,0,0,0,0,0,0,0,17.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,4.36,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.07,0,0,0,0,0,0,0.97,0,0,0,0,0,0.9,0.94,0,0,0
 24-34,0,0,0,0,0,12.24,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,3.38,0,7.89,0,0,0,0,0,0,3.37,0.64,0,0,0,0,0,0.77,0,0,0
 48-58,0,0,0.64,1.01,0,2.29,0,0,0,0,0,0.57,1.54,7.61,0,0,0,0,0,1.49,0,0,0
 60-70,0,0,3.29,6.86,0,8.61,0,0,4.89,0,32.18,0,1.8,1.86,0,17.22,0,0,0,0,0,0.6,0
 72-82,0,0,3.68,51.69,0.59,5.41,0,0,4.22,0,97.12,0,0,2.29,0,28.88,0,0,0,0,0,0,0
 84-94,0,0,1.76,61.65,0,0,0,0,4.13,0,133.67,0,2.1,2.17,0,51.9,0,0,0,0,0,0,0
 96-106,0,0,0.7,157.58,0,0,1.73,1.68,7.6,0,105.87,0,19.78,8.55,0.7,67.11,0,0,0,0,0,1.15,0
108-118,0,0,0,102.24,0,0.67,0,5.62,10.44,0.9,121.47,0,1.04,16.04,0,93.31,0,0,0,0,0,0,0
120,0,0,4.11,96.83,0,0,11.64,4.49,9.56,0,214.92,0,14.4,25.6,0,53.83,0,0,0,0,1.37,0,3.77
