stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.59,3.96,0,0,36.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,0,6.57,0,0,10.47,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,109.38,5.97,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.8,72.6,12.25,41.55,0,1.17,0,12.82,5.13,0,2.41,0,9.15,0,0.93,1.15,0.88,32.82,0,0,25.15,455.62,4.48,1.94,7.18,6.42,0,3.71,65.79,4.1,0.86,81.82,109.05,0,0,2.56,0,0
 24-34,0,0,0,3.36,11.18,2.68,36.66,0,0.89,0,14.87,0,0,2.03,0,0,0,1.45,0,0,26.83,0,0,10.58,452.06,0,7.37,1.94,0,0,3.68,0,1.64,0,14.39,109.72,0,0,1.32,0,0.79
 36-46,0,0,0,0,11.78,0,72.66,0,0,0,24.82,0,0,0,0.67,4.54,0,0.6,0,0,31.88,0,2.23,6.81,454.87,0.56,5.29,4.51,0,0,39.99,0,11.3,0,0,95.09,0,0,4.31,0,0
 48-58,0,0,0,0,6.7,0.65,77.55,0,2.97,6.21,32.54,0.41,0,1.7,8.56,3.82,4.8,0,1.4,0,40.96,0,0.84,7.83,272.1,0.75,1.7,1.47,0,0,14.71,0,0,1.71,0,54.61,0,0.42,9.84,0,5.36
 60-70,0,0,0,0,15.88,0,117.65,3.61,5.26,0.73,25.12,0,0,0,5.68,0,0,0.59,0,0,26.4,0,10.52,4.67,149.57,0,0,3.92,0,0,2.88,0,0,0,0,22.09,0,0,1.11,0,0
 72-82,0,0,2.42,0,8.02,1.14,91.63,0,0,2.42,24.44,3.47,0,0,1.04,0,0.54,1.48,0,0,39.01,0,1.02,4.52,139.8,0.51,3.28,3.58,0,1.08,10.61,0,0,0,0,12.24,0,0,3.98,1.7,0
 84-94,0,0,0,0,9.51,7.42,51.96,0,0,0.59,14.83,0,0.64,0,4.88,0.61,1,0.78,0,0,23.36,1.03,3.4,1.92,57.52,0,0,1.81,0,0,13,0,0,0,0,7.88,0,2.16,1.54,1.52,0
 96-106,0,0,0,0,7.89,9.94,41.33,0,0.62,4.22,21.01,2.99,0,0,7.35,1.18,1.18,4.7,0.86,0,50.23,0,0,6.37,77.92,0,1.83,6.92,0,2.97,9.02,0,0.87,0,0,4.42,5.09,0,3.73,2.16,0
108-118,0,0,0,0,9.3,12.46,52.98,0,0.53,0,24.87,7.45,0,0,6.81,0.88,2.5,2.74,4.66,0,35.2,0,3.85,4.23,89.58,0.86,0,4.96,0,1.58,8.53,0,0,0.6,0,7.86,1.17,0,4.54,0.82,0
120,0,0,0,0,25.11,19.62,32.69,0,2.71,3.49,21.76,1.61,0,0,40.59,0,0,1.12,8.52,0,52.08,0,13.87,10.48,108.3,1.57,0,3.1,0,0,17.04,0,6.25,0,0,9.96,2.82,0,7.49,0,0
