stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,5.93,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.75,0,0,12.83,95.62,0.87,0,0,0,9.53,0.9,0,1.75,37.74,0,0,0,0,0
 24-34,0.88,0,0.96,5.58,5.77,0,0,11.98,0,0,0,1.87,0.85,32,0,0,0,0,0.65,0,92.08,0.71,0,27.19,173.68,0.7,0,0,0,27.67,0,1.1,7.48,99.99,0,0,2.22,0,0
 36-46,0,0,0,0,8.24,0,0,20.2,0,0,0,7.88,0,33.08,0,0,0.56,0,0,0,92.71,0,1.48,19.63,213.92,0,5.54,0,0,65.2,0,0,17.05,89.01,0,1.85,4.53,0,0
 48-58,0,0,0,0,13.78,0,0,28.15,0,0,0.94,25.99,0.64,18.55,4.89,0,0,0,9.24,0,160.09,0,20.77,23.42,217.38,0,2.93,0.62,6.96,18.27,0.65,0,10.49,34.01,0,2.37,2.27,0,0
 60-70,0,0,0,0,13.42,0,0,65.97,0,4.15,2,85.02,3.45,20.73,0,0.92,0,0,3.19,0,357.34,0,30.44,24.72,358.26,0,1.08,0.83,23.6,28.49,0,0,13.11,85.86,0,21.62,6.31,1.18,0
 72-82,0,0,1.62,2.92,16.24,0,0,123.99,0,0,3.55,178.48,2.01,33.44,0,3.86,0.93,1.33,0.62,0,489.19,0,94.22,25.85,520.76,0,4.86,6.68,28.98,29.39,0,0,13.25,52.61,0.53,22.54,6.47,16.68,0
 84-94,0,0,1.33,2.15,24.34,0,0,96.01,8.41,2.39,1.17,132.7,14.3,23.73,0,1.1,0,0,4.46,5.31,393.29,1.48,110.21,26.1,354.98,0,0,0,1.35,30.18,0,0,28.03,40.99,1.94,13.68,7.89,18.44,1.21
 96-106,0,0,0,3.55,22.84,3.96,0,118.76,0,11,3.6,230.94,5.52,32.43,0,0.61,0,1.14,0,3.66,341.19,1.45,72.93,22.31,357.02,0,4.49,4.22,42.93,61.72,0,0,28.48,23.06,2.08,18.63,24.9,44.89,0
108-118,0,0,0.89,0.95,23.85,0,2.29,89.53,0,2.68,3.72,228.02,3.72,21.71,0,1.07,2.94,0,5.14,0,393.63,1,127.33,11.8,571.01,1.37,2.4,5.05,61.8,41.96,0,0,25.91,23.8,2.17,24.22,31.1,8.19,0
120,0,0,1.37,0,24.81,5.13,0,125.67,0,1.33,30.83,365.73,12.4,22.67,2.03,0,0,0,4.54,0,373.51,0,129.72,27.94,960.18,0,1.46,0,50.02,25.24,0,0,22.25,28.24,3.48,31.87,18.02,41.69,0
