stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,vasculature
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.13,0,0,0,0,14.35,4.3,0,0,0,0
 10-12,0,0,0,0,0,0,0,28.45,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.16,0.98,0,0,1.68,0
 24-34,0,0,0,0,0,0,0,6.56,0,3.9,0,0,0
 36-46,0,0,0,0,8.79,0.86,0.57,0.8,0,14.57,5.91,0,10
 48-58,0,0,2.85,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.66,0,0,1.14,0,7.32,0,1.69,0,0,0
 72-82,0,0,0,0.91,0,0,0,5.13,0,0,0,0,0
 84-94,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,2.29,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.83,0,0
