stage,eye,fin_epithelia,glial,neural,presomitic_mesoderm,pronephros,spinal_cord
 14-21,0,0,0,0,1.42,0,0
 24-34,0,0.75,0,0.94,0,0.65,0
 36-46,0,0,0,1.2,0,0,0.91
 48-58,0.81,0,0,0,0,0,1.65
 60-70,0,0,0.58,7.99,0,0.59,0
 72-82,0.69,0,0,0,0,0,2.65
 84-94,0,0,0,5.68,0,0,0
 96-106,0,0,0,2.13,0,0,0
120,0,0,0,24.81,0,0,0
