stage,blastomeres,endoderm,eye,mesenchyme,neural,paraxial_mesoderm
  3-4,11.36,0,0,0,0,0
 10-12,0,4.92,0,0,0,9.31
 14-21,0,0,0,0.99,0.96,0
 24-34,0,0,0,0,1.72,0
 36-46,0,0,2.8,0,0,0
