stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,4.96,0,0,0,0,0
 14-21,8.65,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.22,0,0
 24-34,0,0,0,0,0.67,0,0,0,0,0.64,0.71,4.02,0,0,0,0,0,0,1.68,0
 36-46,0,0,0,0.58,0.57,2.14,0,0,0,0,0,4.11,1.01,0,0,0,0,0.75,0,0
 48-58,0,0,0,0,0,0,2.4,0,0,0.66,0,3.8,0,0,0,0,0,1.61,0,0
 60-70,0,0,0,0,0,0.98,2.88,0,0,0,0,5.85,0,0,0,0.57,0,1,0,2.47
 72-82,0,0,0,0,0.76,0,11.84,0,0,6.61,0,13.47,0,0,0,0,0,3.86,0,0
 84-94,0,0,0,0.72,2.35,0,5.42,0,0,3.81,0,13.26,0,0,0,0,0,0,0,0
 96-106,0,1.19,0,0,1.01,0,0,0,0.71,4.31,0,16.98,0,1,0,0,0,0,0,0
108-118,0,0,0,0.52,1.97,1.72,2.29,0.65,0,0,0,17.75,0,0,0,0,0,0,0,0
120,0,0,0,1.53,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0
