stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,57.02,0,0,0,0,13.07,0,0,1.89,19.72,3.1,0,0,0,9.94,0,0,0,3.08,2.61,0,0,0,0,0
 72-82,0,0,3.01,0,1.06,0,0,145.35,0,0,1.01,4.13,187.07,0,0,2.41,4.08,8.84,0,0,0,49.38,0,0,1,13.5,1.38,1.21,0,5.59,0,4.81
 84-94,0,0,10.52,0.7,0,1.79,1.39,157.01,0,0,0,2.37,481.72,0,0,13.26,0,7.57,0,0,1.08,40.07,0,0,3.15,92.72,3.89,0,2.89,1.47,3.92,0
 96-106,0,0,28.58,0,10.69,11.51,0,146.75,0,0.96,2.48,15.28,1399.3,1.69,3.73,23.85,26.96,21.9,1.27,1.52,4.32,262.38,0.56,0,14.99,113.43,4.54,1.92,0,2.11,0,8.23
108-118,0,0,34.24,0.65,8.41,7.05,1.17,109.77,0.91,0,9.15,4.63,2481.54,2.04,0.49,57.8,6.12,37.44,0,0,2.16,300.12,0,0.97,1.73,177.12,3.21,0.54,0,3.65,0,0
120,0,0,40.94,0,5.43,2.67,1.58,184.19,1.43,0,0,6.93,2060.42,1.06,0,54.13,67.55,48.99,0,0,0,370.06,0,0,7.25,145.32,0,0,0,0,0,0
