stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,58.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.79,0,0,0,0,5.14,0,0,0,0,0,0,0,3.97,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,3.32,0,0,0,0,0,0,84.51,0,0,0,1.97,0,0,11.78,0.88,0,0,0,0,0,0,0,1.06,0.98,0,0,0,0
 24-34,0,0,0,0.92,0,4.48,0,0,0,0,0,135.36,0,0,0,0.77,0,1.06,47.16,0,0,0,0,0.83,0,1.58,0,0,11.99,0,0,6.36,0
 36-46,0,0,0,0.65,0,12.37,0,0,2.41,0,0,258.02,0,0,0,16.62,0.92,5.61,50.69,0,0.79,0,0,2.07,0.81,0,1.69,0,5.6,0,0,0,0
 48-58,0,0,0,0,0.69,12.1,1.65,1.05,2.4,0,0,292.28,0,0,0,54.28,0,1.47,37.74,1.74,0,0,0,0,0,0,0,0,3.18,0,0,0,0
 60-70,0,0,0,0,0,47.1,0,0,0.88,0,0,195.21,0,0,0,157.18,0,0,38.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,87.8,0,0,0,0,0,31.89,0,0,0,252.3,1.56,3.09,36.21,0,0,0,0,0.57,0,0,0,0,0,2.98,105.42,0,4.54
 84-94,0,0,0,1.36,2.12,54.53,0,0,0,1.25,0,180.78,0.8,0,2.28,100.43,16.92,0.75,23.93,0,0,1.39,0,0,0,0,0,0,0,0,50.35,0,15.82
 96-106,0,0,0,0.64,2.12,59.44,1.31,0,0,4.9,0,56.31,0,1.03,0,162.39,0,13.69,8.86,0.62,0,0,0,0,0,0,0,0,0,0,70.82,0,18.99
108-118,0,0,0,0,1.98,31.05,0,0,1.42,0.46,0,171.72,0.57,0,0,116.85,0,4.28,78.37,0,0,0,0,0.44,0,0,0,0,0.61,0,11.5,0,4.52
120,0,0,0,0,0,0,0,0,0,6.94,0,383.01,0,0,0,138.11,0,0,94.68,0,0,0,0,0,0,0,0,0,0,0,4.13,0,14.14
