stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,143.26,5429.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.51,0,0,0,0,0,0,0,0,0
  5-6,154.67,2643.11,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,104.68,0,0,0,22.3,0,13.82,0,0,0,0,0,0,0,0,0
  7-9,57.94,121.7,0,178.53,0,0,0,398.72,0,0,0,0,117.96,0,0,0,0,0,0,0,0,0,0,0,3176.98,8.79,0,0,1154.06,0,0,36.76,0,0,0,0,0,0,0,0
 10-12,0,158.63,0,151.97,0,23.86,0,424.21,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,3701.41,45.67,0,0,1158.35,0,0,26.54,3.96,134.44,0,0,0,0,0,0
 14-21,0,0,0,10.12,77.38,23.8,0,72.47,0,0,25.09,7.72,0,0,0,6.8,1.5,0,0,0,53.54,0.9,0,39.75,1194.46,19.46,2.87,9.19,27.63,0,10.34,2.66,58.51,7.66,48.63,318.29,0,2.44,0,1.25
 24-34,0,0,0,1.22,29.15,6.52,0,263.61,3.57,6.2,21.61,1.02,0,4.5,1.36,1.42,5.04,0.7,1.63,0,146.5,0,0,51.82,1743.81,1.62,2.64,14.03,0,0,20.04,0,0,0,3.11,234.32,0,22.9,0,8.94
 36-46,0,0,0,0,45.98,0,0,303.85,0,0,33.09,0,0,0,0,0,5.86,0,0,0,105.82,0,0.56,20.05,935.78,0.66,6.12,9.85,0,0,6.71,0,0,0,0,188,0,6.82,0,0
 48-58,0,0,0,0.4,16.89,0.59,0,291.67,5.66,1.43,39.48,1.44,0,0,1.12,5.82,10.12,0,0,0.59,89.1,0,2.6,22.6,419.73,0,0,2.82,0,0,1.63,0,0.92,0,0,47.43,0,16.58,0.65,6.53
 60-70,0,0,0,0,8.68,0,0,155.07,2.24,4.03,46.47,0.84,0,0.66,0,0,22.13,0,0,0,79.23,0,2.66,10.76,179.17,0,1.69,2.75,0,0,0,0,0,0,0,37.62,0,7,0,1.61
 72-82,0,0,0,0,5.57,2.17,0,78.26,0,3.35,26.45,0,0,0.5,2.69,1.2,2.13,2.05,3.08,1.15,61.02,0,1.97,8.75,133.87,0,0.53,3.02,0,0.72,0.78,0,0,0.84,0,5.87,0,6.51,0,0
 84-94,0,0,0,0,13.88,0.84,0,65.05,0,1.01,27.68,2.31,0,0,0.56,1.82,0,0,2.03,0.95,63.84,0.89,8.02,11.63,112.25,0,1.04,3.66,0,0,4.73,0,0,7.18,0,7.53,0,15.91,0,0
 96-106,0,0,0,0,7.68,5.21,0,35.87,0.97,0,22.41,4.91,0,0,5.15,1.44,4.51,0,0,0,37.94,0,3.9,3.28,77.89,0.91,0.57,0,0,0,1.09,0,0,0,0,0,0,9.42,0,5.74
108-118,0,0,0.41,0,7.33,6.81,0.47,67.17,0.57,0.88,29.8,3.84,0,0,4.95,1.52,2.27,0,2.84,0,29.57,0,1.46,11.28,179.27,1.32,1.9,5.07,0,0,2.76,0,0,0.87,0,1.43,1.88,7.81,1.24,0
120,0,0,0,0,18.34,2.71,0,65.96,0,4.44,42.08,0,0,0,8.54,0,0,0,0,0,62,0,0,10.2,124.49,1.37,0,5.44,0,4.59,4.29,0,0,0,0,0,1.1,5.33,0,0
