stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,heart,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,3.64,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.87,0.72,41.21,0,0,0,13.08,0,5.46
 36-46,0,0,2.1,0,1.4,0,0,0,0,2.42,0,46.26,0,0,0,12.37,0,0.71
 48-58,0,0,28.09,0,1.04,0.59,0,0,0,7.07,0,71.31,0.6,0.76,0,15.71,0,1.8
 60-70,0,0,49.39,0,4.98,0,0,0,1.56,15.86,0,77.83,0,0,0,9.81,1.31,2.21
 72-82,0,0,60.02,1.22,5.43,0,0,0,0,6.19,0.73,79.27,0,0,0,4.59,0.75,1.1
 84-94,0,0.82,18.37,1.38,2.43,0,0,0,0,11.49,1.99,41.48,0.7,0,0,0.85,0,1.9
 96-106,0.61,0,50.84,0,1.42,0,0,10.33,0,13.58,0,60.95,0,0,1.13,0,0,0
108-118,0,0.89,25.82,1.56,1.03,0,3.04,0,0,4.63,0,28.83,0,0,0,0,0,2.52
120,0,0,27.14,2.94,0,0,0,0,0,4.37,0,34.58,0,0,0,0,1.32,0
