stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,4.69,0,0,16.13,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0.82,0,0,0
 24-34,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,1.9,0,2.45,0,0,5.97,1.67,0,2.53,0,0
 36-46,0,0,0,0.67,0,35.3,0,0,0,0,0,0,0,0,0,0,1.13,5.08,0,8.55,0,0,2.79,0,0,0,0,0
 48-58,0,0,4.66,0,0,264.72,0,7.6,0,0,0,0,0,0,0,0,0.4,28.82,0,3.88,0,0,0.83,0,0,0,0,0
 60-70,2.52,0,0,0,0,686.96,0,0,0,0,0,0,0,0,13.63,0,0.68,47,0,4.44,0,0,4.38,0,0,0,0,0
 72-82,0,0,0,0,0,772.71,0,3.33,0,0,0,0,4.43,0,0.57,0,0,35.09,0,16.76,0.53,0,0.97,0.64,0,1.59,0,0.67
 84-94,0,0,0,0.93,0,548.69,0,15.47,0.66,0,0,0.92,2,0,3.67,0.58,0,39.52,0,8.5,0,0,2.88,0,4.87,0,1.15,0
 96-106,0,0,3.01,3.11,1.05,618.03,0,7.34,1.42,0,1.07,0,0,13.05,0.72,0,2.53,21.21,0,14.38,1,0,0,0,0,0.8,0,0
108-118,0,0,6.02,0,0,648.53,0.44,4.8,0,0,0,0,0,0.46,0.82,0,1.54,39.53,0,5.44,0,0,0,3.11,2.35,0,2.95,0
120,0,0,2.92,0,0,506.5,0,11.23,0,0,0,1.51,0,0,7.26,0,0,45.7,1.1,15.15,0,0,2.88,0,0,0,0,0
