stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,27.67,87.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0
  7-9,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,34.77,0,3.5,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,3.86,6.56,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.81,0.98,0,0,0,0,0,0,2.74,2.24,3.07,0,0
 24-34,0,0,2.89,0,4.2,0,1.94,0,5.05,0,0,0,0,6.73,0,0,42.39,0,0.82,9.65,27.58,7.74,0,0,0,0,0,0,0,5.27,17.08,0
 36-46,0,0,0,0,0.57,0,0,0,4.81,0.62,0,0,0,3.4,0,0,94.81,0,0,26.26,49.82,0.76,0,0,0,0,0,0,0,4.36,6.24,0
 48-58,0,0,0,0,6.45,0,13.01,0,8.19,0.43,1.33,0.43,0,0.44,0,0,88.49,0.52,1.28,14.55,53.09,1.92,0,0,0.4,0,0,0,0,1.78,4.4,0
 60-70,0,0,0,0,4.89,0,15.33,0,3.84,1.91,0,0,0,0,0,0,67.46,0,2.01,11.74,83.63,0,0,0,0,0,0,0,0,2.8,0,0
 72-82,0,0,0,0,1.07,0,70.57,0,5.2,0.66,0,0.74,0,0,0,0,53.73,0,0.75,21.94,121.15,0.93,0,0.77,0.96,0,0.97,0,0,0,0.86,0
 84-94,0,0,0,0,2.39,0,43.64,0.56,13.69,0,12.01,0,0,0,0,0,44.94,0.93,5.54,5.26,85.05,0.89,0,0,0,0,0.67,0,0,14.47,1.63,3.1
 96-106,0,0,0,0,2.59,0,28.22,0,15.18,0.82,6.59,0,0,0,0,0.73,23.45,0,0,9.28,121.31,2.04,0,1.6,1.32,0,0,0,0,6.9,10.93,4.62
108-118,0,0,0.61,0,3.68,1.13,30.67,0,12.8,0,7.14,0,0,0,1.81,0.51,39.09,0,0,17.05,136.77,0.45,0,0,0,0,0,0,0,3.76,16.19,4.88
120,0,0,0,0,0,0,21,0,5.06,0,0,0,0,0,4.11,0,21.27,0,0,4.89,128.91,4.01,0,0,10.12,0,0,0,0,7.84,0,0
