stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,5.34,0,0,0,0,0,0,0,39.96,14.81,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,38.41,4.96,0,0,0
 14-21,1.09,0,1.12,0,0,0,0,0,0,3.92,0,1.85,0,0
 24-34,0,0,0,0,0,0,0,0,0,6.78,0,1.7,0,0
 36-46,0,0,0,0.62,0,0,0,0,0,11.6,0,3.01,0,0
 48-58,0,0,0,1.81,0,0,0,0,0.38,3.42,0,0.46,0,0
 60-70,0,0,0,0,2.36,406.91,7.21,0,1.24,4.04,0,0,0,0
 72-82,0,0,0,0.9,0,179.99,0,0,0,0,0,0,0,2.23
 84-94,0,0,4.46,1,0,373.79,0,0,0,0,0,0,0,0
 96-106,0,0,3.74,0,0,0,0,0,2.23,3.58,0,0,1.15,0
108-118,0,0,43.59,0,0,264.71,1.07,70.93,0,0,0,0,0,0
120,0,0,12.55,0,4.77,153.96,3.58,0,0,0,0,0,0,0
