stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.42,1182.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0
  5-6,52.77,1877.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.64,0,0,0,18.06,0,6.32,0,0,0,0,0,0,0,0
  7-9,10.53,35.91,0,0,0,0,43.8,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,541.21,11.71,0,0,158.89,0,6.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.07,0,0,20.86,0,0,0,0,10.91,0,0,0,0,0,0,0,0,0,156.32,0,0,0,33.67,0,0,8.21,0,0,0,0,0,0,0
 14-21,0,0,0,2.23,8.89,0.95,3.12,0,0,0.84,0.96,0,0,0,0,0,0,0,3.05,0,1.06,33.15,13.32,1.04,0,0.82,0,2.48,0.81,1.23,5.07,19.18,0,0,0,0
 24-34,0,0,0,0,1.56,0,2.41,0,0,1.12,0,0,0,0,0,0,0,1.09,0.64,0,1.45,95.14,1.33,1.6,0,0,0,1.87,0,0,0,18.88,0,0,0,2.57
 36-46,0,0,0,0,1.99,0,7.94,0,0,2.63,0,0,0,0,0,0,0,0,1.82,0,0.84,98.12,0,3.9,0.74,0,0,1.67,0,0,0,24.41,0,0,0,0
 48-58,0,0,0,0,0.63,0,33.46,0.37,0,5.92,0,0,0.5,0,0,0,0,0,3.66,0.65,2.5,134.28,0,2.19,0,0,0,0,0,0,0,37.1,0,0,0,0
 60-70,0,0,0,0,0,0,23.08,0,1.34,0,0,0,0,0,0,0,0.59,0,7.12,0,0,39.04,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
 72-82,0,0,0,0,0,1.13,71.44,0,0,1.95,0,0,0,0.67,0,0.64,0,0,5.35,0,0,68.98,0,1.01,0.88,0,0,2.73,0,0,0,28.37,0,0,0.96,0
 84-94,0,0,0,0,1.75,5.05,73.3,0.56,0,8.45,0,0,0,0,0.99,0,0,0,14.44,0,0,37.95,0,0,0,0,0,4.15,0,0,0,16.54,0,1.94,0.88,2.42
 96-106,0,0,0,0,0,0,91.25,1,0,3.27,0,0,0,0,0.73,0,0,0,5.26,1.41,0,32.16,0,4,0,0,2.27,4.7,0,0,0,2.92,0,0.68,0,3.58
108-118,0,0,1.56,0,5.5,1.45,102.93,4.37,0,9.4,0.46,0,2.59,0.51,0,1.6,0.43,1.13,9.78,0,0,106.74,0,1.44,0,0,0,4.06,0,0,0,0,1.12,1.41,0,1.82
120,0,0,0,0,1.07,8.1,70.36,0,0,42.83,0,0,0,0,7.95,0,0,7.52,4.24,0,0,91.84,0,2.76,0,0,0,7.86,0,0,0,0,0,0,0,0
