stage,epidermis,eye,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0
 14-21,2.49,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,9.92,0.96,0,0,6.66,0,0
 36-46,0.62,1.75,0,0,0,0,1.88,0,0.88,0,1.13,0,0.75,0,0
 48-58,0,0.51,0,0.77,0,0,0.44,0,8.57,0,0,0,0,0,1.87
 60-70,0,0,0,0,0,0,9.76,0,9.83,0,0,0,0,0,0
 72-82,0,0,0,7,0,0,0,0,3.08,0.58,0,0,0,0,0
 84-94,0,0,0,1.48,0,0,0.79,0,8.75,0.83,0,0,0,0,0
 96-106,0,1.31,0,0,0,0,0,1.26,3.25,0,0,0,0,0,0
108-118,0,0,0,0,0.86,1.34,3.94,1.58,4.89,0,0,2.26,3.91,0,0
120,0,17.89,14.64,0,0,0,12.68,0,25.55,0,0,10.92,0,3.65,0
