stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.76,0,5.34,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.38,0,0,0,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,31.97,7.47,18.94,28.04,0,6.23,0,0,0,3.39,0,0,0,0,0,0,0,0,0,6.75,0.95,0,3.22,1414.09,1.17,1.51,0.84,4.51,0,2.06,0,6.88,0,2.8,18.4,2276.19,0,0,7.73,0,0
 24-34,0,33.66,1.18,33.14,4.95,0,70.16,0,3.81,1.14,26.73,1.88,4.01,4.31,4.89,5.28,0,2.85,5.19,5.55,75.47,0.91,0,24.57,6553.3,13.57,145.44,9.35,0,0,38.55,0,0.97,0,0,5.63,7959.22,0,0,40.2,0,9.44
 36-46,8.46,21.85,0.96,48.76,0,0,212.72,1.63,1.04,1.14,39.03,1.58,0,2.98,10.45,1.92,0,1.93,0,8.57,52.44,0,0.86,19.08,9853.75,1.77,228.75,10.29,0,2.1,58.51,0,0,0,0,0,11393.96,0,0,42.97,0,17.93
 48-58,0.39,9.54,0,27.86,2.94,0,1009.65,5.33,1.83,8.08,128.13,0.46,0,2.93,9.85,0.37,5.31,1.02,2.26,30.05,126.75,0.52,5.48,22.14,11076.63,1.71,163.56,7.46,0,0,20.8,0,0,0,0.77,0,5852.42,0,1.27,16.34,0,62.36
 60-70,0,4.19,0,30.43,14.15,0,1888.95,0,0.69,1.73,81.5,1.84,0,12.66,7.85,0,7.43,1.2,0.74,4.47,86.6,1.43,5.63,10.65,13555.56,0,163.16,10.19,0,1.19,16.24,0,0,0,2.58,0,4094.78,0.76,1.8,22.74,1.92,45.23
 72-82,0,11.34,0,52.53,45.79,0,2558.68,2.9,3.51,14.55,163.54,3.51,0,1.91,15.56,2.21,6.99,6.26,0,5.18,164.08,1.92,4.37,17.51,12127.8,0,317.42,34.9,0,2.73,24.13,1.65,0,0,0,0,2781.39,11.03,0.78,23.03,7.55,60.11
 84-94,0,31.97,0,69.1,18.36,0,1818.14,5.38,1.94,6.56,107.65,4.61,0,1,6.84,0,2.09,0.66,8.2,9.54,83.38,0,0,12.11,7409.68,0,278.6,43.11,0,5.83,37.98,0,0,0.7,0,0,1663.2,19.62,7.94,3.51,1.87,4.52
 96-106,0,14.3,0,67.83,34.32,10.49,1355.74,0.79,1.27,10.02,147.26,19.4,2.12,4.13,5.37,0,6.21,13.22,26.19,4.4,110.61,0,9.34,8.94,6005.94,1.31,428.3,17.97,0,6.82,31.87,5.17,0,0,0,0,833.31,41.94,4.24,5.7,4.68,38.02
108-118,0,16.47,0,77.09,23.82,8.55,1832.57,0,7.7,4.54,161.3,3.48,0,2.38,11.97,1.11,1.83,2.25,6.77,1.61,77.02,0.53,6.05,10.86,9852.18,0.47,317.24,19.64,0,9.66,16.32,0,0,4.19,0,0,758.1,33.53,1.35,15.55,6.77,5.23
120,0,7.45,0,91.76,20.63,0,2009.6,26.44,0,3.46,322.8,7.81,0,7.39,8.61,2.21,6.33,1.07,25.33,0,120.96,4.8,2.13,9.12,14986.3,1.38,306.52,48.9,0,12.97,5.64,0,0,9.87,0,0,914.74,9.15,0,39.77,0,0
