stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.75,42.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,226.41,35.83,0,90.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114.28,976.26,0,0,1633.52,22.32,0,0,0,0,0,0,0,0,0
 10-12,0,25.37,0,535.36,0,0,17.06,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,1947.99,508.52,0,0,2104.78,15.85,0,251.26,0,39.4,7.62,0,0,0,0
 14-21,0,0,0,25.78,256.99,17.36,8.1,0,0,0,6,89.77,2.24,0,0,2.18,1.22,2.33,0,0,51.19,1.88,0,27.14,166.06,68.15,0,8.32,105.29,120.05,28.5,15.22,56.51,137.25,278.6,0,3.9,0,0
 24-34,0,0,0.61,6.07,42.33,0,12.87,2.28,2.06,1.5,3.28,7.46,0,0.6,0,1.25,0,13.5,3.08,0,41.4,0,0,19.46,653.35,6.62,0,54.71,0,382.9,0,0,11.74,23.11,270.87,0,15.97,0,0
 36-46,0,0,0,0,7.5,0,13.14,0.64,1.72,4.04,6.99,2.58,0,4.35,1.66,0,0,1.22,1.16,0,24.68,2.17,0,8.66,945.66,0.64,0.67,12.83,0,464.82,0,1.32,10.94,0,444.01,0,0.88,0,1.02
 48-58,0,0,0,0,6.94,0,18.46,0.6,6.97,3.7,21.5,0.8,0,0,0,0.61,0,0,0,0,13.49,0.61,0,1.95,470.7,0,0,10.35,0,226.9,0,0,14.54,0,228.12,0,1.72,0,3.09
 60-70,0,0,0,0,16.45,0,24.7,0.97,0,5.32,33.63,0.62,0,0.78,0,0,0,0,0,0,8.81,0,0,4.34,223.7,0,0,5.94,0,214.71,0,0.58,0.72,0,112.15,0,1.51,0,0
 72-82,0,0,0,0,2.51,1.33,10.95,0,4.97,0.58,23.73,3.17,0,0,2.39,0,0.55,0,0,0,15.15,0.77,0.62,6.93,156.22,0,0,4.09,0,205.2,0,0.97,6.14,0,49.4,0,0,0.65,0
 84-94,0,0,0,0,8.77,0,14.51,0.57,5.32,2.97,14.25,9.9,0,0,0,1.26,0,1.05,0,0,6.3,0,0,1.2,125.99,0,0,11.53,0,607.68,0,0.56,4.24,0,20.62,5.01,3.07,0,0
 96-106,0,0,0,0,9.26,0,24.23,0,2.06,0,6.62,5.33,0,0,0,1.78,1.02,0,0,0,6.32,4.93,1.01,0,95.64,2.63,2.65,9.68,0,418.69,0,0.7,3.29,0,18.06,0,0,0,0
108-118,0,0,0,0,8.44,0,18.48,0.47,5.97,0,5.52,6.61,0,0,0,2.49,1.42,0,0,0.47,9.55,4.13,0,2.38,75.15,0,0,7.82,0,342.9,0,0,4.7,0,9.42,0,0.44,0,0
120,0,0,0,0,22.47,0,17.02,0,5,0,0,20.13,0,0,0,2.06,1.18,0,9.22,0,7,0,0,1.68,69.41,0,2.15,19.3,0,202.21,0,0,2.07,0,0,0,0,0,0
