stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.83,0,0,0,8.42,0,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,11.91,0,24.66,0,7.16,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,223.17,0,0,0,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,1.41,2.29,0,0,0,0,438.89,3.34,0,0,0.95,0,0,0,0,0,13.72,0,0,7.73,275.41,0,0,0,0.82,0,0,0.91,0,0.99,0,0.9,569.56,0,0,0,0,0
 24-34,0,0,0,4.8,0,18.58,0,0,0.89,1205.92,0,0,3.07,0,0,0,1.26,0,2.37,93.75,0,0,37.11,300.93,4.01,0.6,8.7,0,0,5.08,0,0,5.62,0,2.02,1521.27,0,0,44.81,0,0
 36-46,0,0,0,3.63,0,28.01,0,0,5.18,1375.62,0,0,0.56,0,0,0,0.69,7.2,7.92,316.39,0,4.12,71.68,351.93,5.37,0,17.43,0,0,0,0,0,7.49,4.29,0,1973.13,0,0,12.71,0,2.27
 48-58,0,0,0,14.33,0,40.51,0,0.47,10.48,754.48,0,0,1.23,0,0,0.43,1.56,0,16.86,517.13,0,0.39,73.82,299.18,11.91,2.62,29.63,0,0,1.74,0,0,0.38,0,0,1234.18,0,0.98,8.41,0,7.36
 60-70,0,0,0,6.27,0,51,0,1.31,12.18,835.48,0.72,0,0,2.82,0,3.12,0,1.2,28.04,1188.18,0,11.23,62.58,248.35,9.21,0.6,58.38,0,0.71,5.78,0,5.3,1.21,0,0,569.72,0,8.59,7.5,1.7,21.37
 72-82,0,0.91,0.75,19.94,0.52,99.26,0,0.5,38.48,995.06,15.54,0,0,5.75,6.59,4.51,2.7,4.09,12.42,1674.91,8.82,23.75,78.06,203.26,1.52,0,71.05,0,2.48,0.5,0,0,0,0,0,203.44,1.44,16.85,26.99,13.86,31.35
 84-94,0,0,0,40.02,7.2,118.92,1.12,2.34,18.17,748.07,13.87,0,0,0.69,8.58,12.47,0,0,75.43,1281.55,0,33.23,65.36,181.27,13.28,10.49,110.85,0,0,7.47,0,0,2.48,0,0,183.51,4.78,13.21,19.33,19.44,16.29
 96-106,0,0.74,0,44.91,0,101.87,0,1.15,20.07,591.27,15.43,0,0.87,0,15.42,21.1,0.58,0,22.59,1576.16,8.52,22.43,41.44,154.47,1.92,1.73,140.63,0,6.01,11.44,0,0,1.35,0,0,76.32,0.58,12.09,30.74,33.05,9.91
108-118,0,0.61,1.28,63.85,3.81,97.79,0,5.51,21.02,693.89,6.64,0,0,0.94,12.45,46.02,1.24,0.73,52.26,1774.02,1.37,48.45,44.7,182.06,8,2.45,181.81,0,7.2,12.88,0,0,0.47,0.66,0,69.74,5.75,14.77,33.01,21.86,21.83
120,0,5.28,0,36.87,0,75,0,2.75,18.7,780.08,2.94,0,0,2.35,4.73,26.2,0,9.76,9.38,1669.8,0,65.96,57.14,262.94,16.5,9.51,152.12,0,11.51,6.99,0,0,23.25,0,0,48.85,5.33,17.7,39.01,31.19,12.84
