stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,35.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.47,0,0,0,0,0,0,0,0,61.73,0,0,22.11,0,3.78,0,0,0,0
 10-12,0,20.87,0,0,3.98,0,0,0,0,0,0,0,0,174.04,12.59,0,36.37,0,0,15.22,0,0,0
 14-21,0,0,0.92,0,0,0,0,0,0,0,1.13,0,0,2.73,0,0,0,0,0,0,2.48,0,0
 24-34,0,0,0,0,0,0,0,0,1,0,3.09,0,0,15.05,0,0,0,0,10.72,0,1.01,0,0
 36-46,0,0,8.52,0,1.28,0,0,0,0,0,0,0,0,8.4,0,0,0,0,42.08,0,1.33,0,0
 48-58,0,0,0,0,0,0.67,2.33,0,0,0,1.44,0.71,0,20.01,0,0,0,0,5.56,0,2.38,0,0
 60-70,0,0,0,0,2.16,0,0,0,0,0,0,0,0,3.31,0,0,0,0,15.06,0,0,0,0
 72-82,0,0,0.51,6.28,0.96,0,1.27,0.91,0,0.74,0,0,0,10.81,0,0,0,0,12.98,0,2.4,0,0
 84-94,0,0,0,0,0.62,0,0,3.96,0.55,0,0,0.57,0,10.84,0,0,0,0,45.08,0,0,0,5.06
 96-106,0,0,6.17,0,6,0,1.9,2.5,0,0,0.98,0,0,9.67,0,0,0,1.28,34.68,0,0,0,2.49
108-118,0,0,2.83,2.09,10.45,0,0,0.73,1.67,0,0.53,3.93,0.8,7.69,0,1.62,0,0,18.99,0,0,0.6,6.43
120,0,0,4.94,0,0,0,0,6,4.66,0,0,0,1.36,18.84,0,0,0,0,42.94,0,0,0,0
