stage,blastomeres,exocrine.pancreas,eye,gut,neural,olfactory,spinal.cord
  5-6,28.43,0,0,0,0,0,0
 24-34,0,0,0,0,0.78,0.75,0.81
 36-46,0,0,0,0,0,0,1.8
 72-82,0,0,0,0,1.19,0,0
 96-106,0,0,0,0.83,0,0,0
108-118,0,0.6,5.02,0,0,0,0
120,0,0,0,0,11.15,0,0
