stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.52,0,0.82,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06,0,0,0,0,0,4.07,0,0,0,0,0
 24-34,0,5.08,0,8,0,1.58,0,20.31,0,0,0,0,0,0,0,1.62,0,0,2.05,49.27,0,0,0,5.14,0.6,7.67,0,0,1.08,0,0
 36-46,0,0,0,10.38,0,0,0,43.85,0,0,0,0,0,0,0,2.22,0,0,0.66,40.68,1.86,0,1.24,0,0,15.9,0,0,0,0,10.04
 48-58,0,2.02,0,3.77,0,0.56,0,39.83,0,0.63,0,0,0,0,2.78,20.61,0,0,0.54,55,0.43,0,0,0,0,32.27,0,0,0,0,8.35
 60-70,0,5.58,0,58.67,0,0,0,111.7,1.57,0,0,0,0,0,0,60.59,0,2.7,2.17,34.64,0,0,0,1.44,0,44.91,0,0,0,0,0.99
 72-82,0,2.27,2.56,356.38,0,0,0,293.14,8.11,0,0,0.93,2.21,2.52,1.18,184.43,0,1.49,0,94.48,0,0,0,0,0,30.95,1.36,0,0,0,13.89
 84-94,0,0.73,0,369.28,0,0,1.75,226.36,17.39,0,0,0,2.85,0,1.25,104.62,0,3.88,0,110.02,6.81,0,0,1.07,0,27.4,0,1.91,0,1.98,10.89
 96-106,0,17.2,0,463.39,1.02,0,0,333.91,11.67,1.53,0.78,0,4.37,0,0,186.4,1.42,4.23,1.29,70.82,10.71,0,0,0,0,30.62,0,4.91,2.33,2.74,7.19
108-118,0.64,8.37,0,376.14,0,0,1.27,325.98,6.96,0,0,0,2.7,0,2.12,170.92,0,8.71,0,92.77,3.49,0.87,0,0,0,32.94,0,6.69,0.77,4.86,9.51
120,0,6.17,4.26,366.08,0,0,0,296.5,8.33,0,0,0,0,0,0,109.79,0,7.16,3.84,96.05,15.91,0,1.21,0,0,28.8,0,0,0,0,6.16
