stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,1.74,0,0,0,1.79,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,16.71,0,19.17,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,0,9.65,0,33.1,0,0,0,0
 48-58,0,0,0,0,1.68,0,0.87,0,0,0,0,0,0,0,0,28.24,0,0,0,0,0,32.44,0,0,0,0
 60-70,0,0,0,0,64.55,0,21.89,0,0,0,0,0,0,2.97,0,37.81,0,0,0,0,0,19.05,0,0,0,0
 72-82,0,1.03,0,0,332.16,8.36,71.64,0,0,0,0,0,0,17.49,0,68.37,0,0.87,0,0,0,87,0,0,0,0
 84-94,0,1.8,3.01,0,545.85,0,42.35,0,0.97,0,0,0,0,29.72,0.75,17.86,0,0,0,0,0,33.98,0,0,0,0
 96-106,0.63,0.92,17.48,0,1252.02,0.56,63.56,0,2.95,0,0,0,0,17.12,0,55.2,0,0,0,1.62,1.19,72.5,0.67,0,0,0
108-118,0,0.55,0,0.45,1422.86,0,115.54,0,0,1.1,0.82,0.76,0.75,11.51,1.78,48.97,0,0,5.56,0.47,0,52.47,0.9,2.25,0,5.54
120,0,0,0,0,1510.26,0,70.57,8.01,0,0,0,0,0,12.37,0,50.19,19.92,5,3.72,0,0,58.5,12.35,0,9.71,0
