stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.84,0,0,24.96,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,133.73,3.96,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.88,0,15.79,0,0,21.42,0,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,387.64,5.94,0,0,122.67,0,6.03,0,11.99,0,20.6,0,0,0,0,0,0
 14-21,0,0,1.38,2.41,37.21,2.13,2.01,0,4.02,0,1.1,0,0,0,0,0,0,0,0,4.97,0,0,7.86,58.67,10.32,0,0,0,0.81,0,2.05,0,20.42,45.86,30.58,0,0,0,0,0
 24-34,0.88,0,2.53,0,8.9,0.62,3.93,0,0,0,0,0.71,0,0,0,0,0,0,0,5.64,0,0,4.11,207.23,0,0.67,0,0,0,0,0,0,0,6.2,68.04,0,0,12.5,0,2.68
 36-46,0,0,0,0,0.55,0,15.14,0,1.44,0,2.32,0,0,0,0,0,0,0,0,3.81,0,0.57,2.06,518.75,0,2.48,0.66,0,0.66,0,0,0,0,0,114.28,0,0,5.68,0,0
 48-58,0,0,0,0,0.83,1.06,104.92,0,1.77,0,6.47,0,0.7,1.71,0,0,0,0,0,9.46,0,4.89,2.79,803.89,0,2.87,0,0,4.1,0,0,0,0,0,124.44,0,0,4.93,0,6.99
 60-70,0,0,0,0,15.25,2.83,316.97,0,0,0,13.05,0,0,0,0,0,0,2.25,0,22.59,0,2.59,0.74,1417.45,0,3.85,0.77,0,3.92,0,0,0,0,0,145.38,1.53,0.73,0.84,1.24,7.83
 72-82,0,0,0.58,0,18.29,3.7,422.98,0.56,0,2.96,29.3,0,0,0,0,0,0,0,0,22.56,0,3.89,1.44,1275.84,0,1.51,0,0,1.93,0,0,0.64,0,0,107.15,2.97,0.66,4.05,12.41,0
 84-94,0,0,0,0,20.02,0.93,285.44,1.97,0.83,0,21.06,1.39,0,0,0.6,0.93,0.86,0,0.67,13.61,0,3.21,3.36,823.7,0,0,1.92,0,0.72,0,0,0.74,0,0,72.47,4.55,3.65,10.97,19.04,0
 96-106,0,0,0.99,0,26.47,12.04,181.65,0,0.81,4.09,48.07,3.04,0,1.88,0,0,0,0,2.16,41.55,0,9.62,6.7,740.89,0,4.35,4.01,0,6.85,0,0,0,0,0,48.41,2.91,1.05,10.28,19.58,0
108-118,0,0,0,0,20.52,2.5,172.52,0,1.36,0.86,35.53,2.51,0,1.06,1.11,0.52,0.64,0,0,25.05,0.94,1.98,4.38,1251.64,0.55,2.96,2.06,0,1.67,0,0,0.42,0.92,0,17.42,8.68,1.16,10.11,19.98,7.49
120,0,0,1.22,0,51.82,0,266.71,0,1.13,0,56.51,0,0,0,4.13,0,0,1.05,0,36.39,0,6.13,13.96,1537.86,0,0,0,0,5.57,0,0,0,0,0,67.35,5.14,0,22.76,18.32,0
