stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,0,5.12,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3.71,0,0,0,0,2.18,1.43,0,0.82,0.93,0,0,0,0
 24-34,0,0,0,1.52,0,0,0,0.7,0,0,0,0,0,0,1.19,3.1,0,1.25,15.26,0,4.75,0,0,4.24,0,0,1.29,6.75,0,0,0,0
 36-46,0,3.62,0,1.94,1.83,1.3,0,2.24,0,0,0,0,0,0,0,1.44,0,0.95,26.83,0,0,0,0,6.02,0,1.14,0,10.42,0,0,0,0
 48-58,0,0,0,5.33,1.62,0,0,4.12,0,0,0,0.49,0,0,0,1.93,0.55,1.55,30.11,3.15,0,0,0,0,0,1.43,0,7.72,0,0,0,0
 60-70,0,3.36,0,45.71,2.78,0,0,3.07,0,0,0,0,0,0,0,3.24,0,0,44.91,0,0,0,0,6.17,0,0,0,1.49,0,0,0,0
 72-82,0,0,0,67.81,0,0,0,4.84,0.69,0,0,0,0,0.79,0,10.08,0,0,63.07,0,0.54,2,0,0,0,0,0,11.82,0,0,0.51,0
 84-94,0,2.17,0.69,56.11,0,9.07,0,1.69,0.58,1.3,1.38,1.87,1,0,0,12.3,0.57,0,60.29,0,0,0,0,3.21,0,0,0,5.18,0,0,0,0.61
 96-106,0,1.99,0,113.72,0,0.57,0.75,0,0,0,0,0,0,0,0,2.32,4.72,0.67,30.7,2.22,0.74,0,0,4.54,0,0,0,4.8,0,1.88,0,0
108-118,0,2.26,0,103.01,0,0.59,0,3.12,0,0,0,0,0,0,0,16.11,0,0,27.94,0,0,0.99,0,3.16,0,0,0,1.42,0.89,0,0,0
120,0,13.82,0,97.87,8,0,0,5.01,1.42,0,0,1.63,0,0,1.61,8.99,0,0,63.86,0,0,0,0,0,0,0,0,4.78,0,0,0,0
