stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0.85,0,2.21,5.7,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.78,0.63,0,0,0,0,0,0,0,0,0.91,0,0,0,12.01
 36-46,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0.59,4.65,0,0,0,0,0,18.27
 48-58,0,0,0,8.68,0,1.41,0.5,0,0.85,0,0,0,0,0,0.43,2.13,0,0,0,0,0,0,0,0,0,1.54
 60-70,0,2.09,0,625.71,0,1.16,0,0,0,0,0,0,1.8,0,0,0.82,0,0,0,3.27,0,0,0,0,0,0
 72-82,0,3.21,4.86,1399.46,0,13.87,0,0.59,0,0,0,0,3.27,0,0,68.65,0,4.84,0,0.49,0,0,2.26,0,1.05,0.78
 84-94,0,0,2.14,1078.11,0,15.29,0,0,1.28,0,0,0,7.63,1.01,0,26.47,0.74,0.69,0,0,0,0.68,0,0,0.77,1.02
 96-106,0.91,2.42,0,1521.74,0,29.7,0,0.81,0,4.55,0,0,7.82,0,1.13,29.18,1,1.37,0,0,0,1.79,9.94,1.25,0,0
108-118,0,3.67,3.05,1022.86,0,12.54,0,0,0.68,0,0.91,0,7.74,9.54,0,51.68,0,0,0,0,0,2.76,0,0,0,0
120,0,9.29,1.79,753.94,1.56,38.09,0,0,0,0,0,0,1.94,0,0,52.08,0,1.24,0,0,0,0,0,2.2,0,0
