stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,32.57,174.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.69,822.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.54,38.84,0,9.15,0,0,0,0,0,0,0,0
  7-9,36.05,37.84,20.12,0,0,0,13.55,0,0,0,68.89,0,0,0,0,0,0,0,0,488.24,17.1,0,153.21,0,0,0,0,0,0,0,0
 10-12,0,0,13,0,0,0,15.44,0,0,0,7.8,0,0,0,0,0,0,0,0,130.1,19.25,0,57.21,0,0,22.57,0,0,0,0,0
 14-21,0,0,0,1.13,12.03,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,27,0,0,0,0,0.91,0,4.43,6.97,0,0,0
 24-34,0,0,0,0.82,0,0,3.23,0,0,0,0,0,0,0.8,0,0,3.42,0,1.42,9.09,0.81,0,0,0,0,0,0,3.75,0,3.84,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,1.77,0,0,0,0,0,0,0,0,0,2.96,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,6.4,0,0,0,0,0,0,0,0.6,0,7.65,0
 60-70,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,7.35,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,6.4,0,0,0.7,0,0,0,0.66,85.95,0,0,0,0,2.52,0,0,0,0.49,0,0,0,0,0,2.77,0
 84-94,0,0,0,0,0,0,8.18,0,0,0,0,0,0.73,0,367.84,0,0,0,0,6.42,0,0,0,0,0,0,0,0,1.15,5.54,0
 96-106,0,0,0,5.26,0,0,2.55,0,2.17,1.24,0,0,0.74,0,616.22,6.77,14.26,5.3,1.59,75.74,0,1.9,0,1.56,0,0,0,0,0,9.51,0.86
108-118,0,0,0,3.39,0.49,0.62,27.43,0.5,2.62,0,0,0,0.43,0.42,790.14,0,6.76,0,0,46.05,0,0.44,0,1.15,0,0,0,0,2.05,11.86,0
120,0,0,0,0,0,0,3.37,0,16.72,1.14,0,3.06,2,0,678.18,0,0,0,0,22.82,0,0,0,0,0,0,0,0,0,4.84,0
