stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,510.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.67,344.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.66,0,0,0,33.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.13,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.51,31.55,0,0,2123.73,0,0,73.18,5.15,0,413.86,0,0,0,0,0,0
 14-21,0,1.34,0,17.77,5.19,9.69,0,0,0,0,7.28,4.13,63.62,0,0,0,0,39.35,0,0,224.45,148.21,1.94,0,0,19.54,0,7.78,3313.82,1.64,2637.63,15885.96,13.17,0,0,3.01,0,0
 24-34,0,0,0,6.47,2.89,25.89,333.88,0,0.71,6.88,0,0,12.46,7.23,0,0,0,45.08,0,0,135.53,210.03,2.06,2.07,1.28,0,0,4.3,24.54,1.87,493.87,3166.06,40.47,0,0,7.79,0,1.93
 36-46,0,0,0,3.74,0,17.7,455.02,0,0,0,0,0,12.45,0,0,0,0,27.56,0,0,179.77,229.08,0.76,1.57,0,0,0,10.56,6.89,0,153.15,111.52,29.02,0,0,4.86,0,0
 48-58,0,0,0,3.51,0,57.65,202.88,0,1.36,10.22,2.58,0,1.14,0,0,0.58,0,27.96,0,7.42,192.74,253.85,0,0.9,1.29,0,0.56,0.45,0,0,55.18,0.83,19.29,0,0.37,2.1,0,0
 60-70,0,0,0,2.89,0,49.63,152.67,0,2.66,7.64,0,0,2.8,2.02,0,0.7,0,52.35,0,7.66,128.27,162.43,0,1.08,0,0,0,1.83,1.38,1.17,34.48,0,14.07,0,2.21,0,2.01,7.41
 72-82,0,0,0,1.95,4.05,61.49,117.54,0,0,16.29,0,0,0,2.56,0.55,0,0,72.15,0,2.27,64.6,296.09,0,5.79,0,1.13,0,5.21,0,0,13.78,0,12.21,0,4.99,1.37,13.05,0
 84-94,0,0,0,2.88,2.16,78.85,105.32,0,0,6.59,2.85,0,3.77,0.59,0,0,0.96,66.06,0,6.32,90.06,245.48,0,2.05,0,0,0,10.71,0,0,11.55,0,9.39,0,1.11,7.12,9.73,7.05
 96-106,0,0,0,9.5,24.13,41.52,125.86,1.32,2,9.74,1.18,0,2.6,1.97,1.24,0,0,64.51,2.95,11.35,52.61,202.24,0,0.57,3.22,1.2,0,15.17,0,0,15.22,0,6.33,0,6.61,0,7.06,1.51
108-118,0,0,0.74,10.06,8.41,59.67,138.69,0,1.94,10.76,0,0,0.47,0,0,0,0.73,89.57,3.93,19.69,68.41,299.79,0.69,0.6,1.27,0,0,6.66,0,0.45,22.49,0,12.78,0.91,2.28,11.78,8.55,0.48
120,0,0,1.66,4.56,9.77,52.49,153.43,0,0,7.43,0,0,0,17.43,0,0,0,68.43,0,19.56,114.81,333.32,0,1.48,0,0,0,4.97,1.12,0,19.27,0,2.78,0,13.54,0,1.45,0
