stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,0,67.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,29.77,0,0,8.43,0,0
 10-12,0,0,0,0,5.52,0,0,0,0,0,13.93,0,0,6.35,0,0
 14-21,0,0,0,0,2.29,0,0,0,0,0,3.27,0,0,0,1.77,0
 24-34,0,0,0.67,0,0,0,0,0,0,0,17.33,0,0,0,1.05,0
 36-46,0,0,0,0,0,0,0,0,1.14,4.9,24.82,1.31,0,0,0.68,0
 48-58,0,0,0,0,0,0,0,0.38,0,0,50.98,0,0,0,2.38,0
 60-70,0,0,0,0,3.88,0,0,0,0,0,83.13,0,0,0,7.39,0
 72-82,0,0,0.97,7.05,34.63,0,0,1.89,0,0,127.25,0,0,0,4.7,0.71
 84-94,0,0,0,0,39.3,0,0,0,0,0,75.96,0,0,0,1.23,0
 96-106,0,0,1.19,4.16,67.09,0,1.65,0,0,0,91.95,0,0,0,0,0
108-118,0,0,0,0,54.81,1.3,0,3.32,1.25,0,79.13,0,1.46,0,0,0
120,0,0,0,0,9.52,0,0,5.24,6.09,0,204.09,0,0,0,0,0
