stage,blastomeres,epidermis,eye,fin_mesenchyme,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  3-4,57.49,0,0,0,0,0,0,10.11,0,0
  5-6,16.53,0,0,0,0,0,0,56.77,0,0
  7-9,0,0,0,0,0,3.89,0,9.67,0,0
 10-12,0,0,0,0,0,7.99,0,6.59,0,0
 14-21,0,0,0,0,0,0,0.86,0,0,0
 24-34,0,0.86,3.79,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,1.04,9.07,0,0,1.04,0
 48-58,0,0,0,0.44,0,3.52,0,0,0,0
 60-70,0,0,0,0,0,8.33,0,3.53,0,0
 72-82,0,0,1.41,0,0,4.18,0,2.38,0,0
 96-106,0,0.93,0,0,0,0.96,0,0,0,2.45
108-118,0,0,0,0,0,0,0,0.5,0,0
120,0,0,0,0,0,3.15,0,0,0,0
