stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,somites,spinal_cord
  5-6,35.06,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.74,4.49,0,0,0,0,4.06,0,0,0,43.95,11.94,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,1.34,0,4.96,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,2.84,0,0.87,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.6,0,0,0,0,8.1
 48-58,0,0,0,0,0,0,0,0,0.89,0,1.07,0,0,2.02
 60-70,0,0,0,0,0,0,0,0,0,0,8.61,0,0,1.21
 72-82,0,0,0,0,0.61,0.67,0,1.89,0,0,0,0,0,0
 84-94,0,0,0,1.49,0,0,0,0,0,0.7,1.07,0,0,0
108-118,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0
120,0,0,0,18.08,0,0,0,0,0,0,0,0,0,0
