stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.52,2.03,0,0,0,0,0,2.31,2.75,0,0,0,0,0,3.89,16.81,0,19.8,15.03,0,0,0,0,4.37,0,19.76,0,32.41,11.23,0,0,2.48,0,2.01
 24-34,0.67,7.92,0.87,0,10.02,0,0,0,7.13,14.2,0,0,0,0.78,9.7,16.66,39.24,0,18.81,80.8,1.04,0.76,6.26,0,5.52,0,0,1.36,17.37,8.24,0,0,1.13,0,4.11
 36-46,0,0.65,0,0,3.99,0,0,0,7.71,5.34,0,0,0.71,1.67,0,19.22,25,0.71,2.88,38.03,0,0,3.46,0,8.8,0,0,0.65,2.35,6.42,0,0,0,0,15.77
 48-58,0,3.35,0.6,0,10.53,1.7,0,0,20.05,4.08,0,0,0.39,1.01,3.35,5.44,46.71,0,14.66,37.93,0.41,0,12.91,0,2.89,0,0,0,0,29.25,0,0,0.48,0,45.79
 60-70,0,10.6,0,0,59.68,3.23,0,0,45.95,1.87,0,0,3.23,0.63,0,4.13,59.82,0.76,5.8,78.28,0,1.27,6.15,0,0,0,0,0,0,13.67,0,0.67,0,0.87,15.01
 72-82,0,0.88,0,0,56.6,4.75,1.14,0,103.73,2.79,0,0,5.01,4.55,0,1.88,80.72,9.63,18.86,128.05,0,2.41,5.08,2.24,4.19,0,0,0,0,0.82,0,1.72,1.22,1.08,11.24
 84-94,0,4.62,0,0,50.66,2.6,4.74,0,73.72,4.18,0,0,13.2,0,0,2.06,63.31,7.29,9.21,88.04,0,4.81,13.34,1.75,2.74,0,0,1.79,0,2.76,0,8.46,0,0,21.48
 96-106,0,0,0,0,74.83,0.9,1.94,0,61.93,0,0.63,2.61,12.17,0.79,0,1.15,46.15,2.99,3.37,147.89,0,2.37,11.02,5.81,4.33,0,0,3.02,0,0,0,1.03,1.56,0,31.15
108-118,0,2.04,1.37,3.92,58.97,0,0,0.62,67.92,1.42,0,0.55,10.73,1.38,4.07,7.34,57.61,2.85,12.72,125.35,0,0.42,9.13,4.59,24.37,0,0,0,0,0,0,2.24,0,0,38.66
120,0,8.49,5.21,0,95.38,2.55,0,0,100.09,33.1,0,0,5.08,0,0,9.51,55.3,0,20.78,157.18,0,4.1,9.35,0,5.35,2.5,0,0,0,0,1.27,5.4,0,3.44,6.18
