stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,0,0,12.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.08,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,4.32,0,0,1.12,0,0,0,1.09,0,0,0,0,0,0,0,0,1.34,0,0,1.32,48.41,0,0,0,0,0,1.66,1,0,2.6,29.95,0,0,0,0
 24-34,0,0,5.52,0,11.87,0,0,7.88,0,0.82,0,38.86,0,0,0,0,0,0,0,0,3.03,0,0,0.79,800.45,1.4,4.12,2.91,0,0,20.65,1.06,0,0,295.61,0,1.83,0,0
 36-46,0,0,3.52,0,6.65,0,0,18.54,0,0,0,153.56,0,0.63,0,1.59,0,0,14.67,0.66,10.34,0,0,2.23,1588.5,3.87,16.86,0,0,0,76.9,0,0,0,420.81,0,0,0,0
 48-58,0,0,1.56,0,9.19,0,0,137.93,0,1.9,1.76,547.82,0,0.4,0.89,0,5.57,0,2.86,0,17.56,0,7.07,5.17,2487.89,0,5.22,3.07,0,0,48.59,0.58,0,0,542.5,0,0.48,0,8.83
 60-70,0,0,0.9,0,2.42,0,0,224.36,0,0.89,1.85,912.49,0,0,0,0,0,2.32,0,0,52.88,0,0,4.85,3986.09,1.92,0,0,0,0,44.94,0.62,3.39,0,449.5,0,8.19,0.81,7.87
 72-82,0,0,3.85,0,17.29,4.25,0,374.18,0,0,7.04,710.47,0.63,0,7.01,0,0.52,0,9.19,0,45.26,0,0,0.63,4460.83,8.34,6.83,2.28,0,0,7.55,2.47,0,0,247.38,0,4.28,1.49,3.4
 84-94,0,0,10.35,0,2.83,4.59,0,359.52,0,4.74,3.19,524.52,0,0.73,1.02,1.69,0.83,0,0,0,59.63,0,1.44,4.72,2716.33,1.16,4.64,15.73,0,0,11.62,4.05,0,0,190.98,0,1.34,1.5,0
 96-106,0,0,9.74,0,11.42,0,0,246.44,0,0,2.37,431.05,0,0,6.46,0,0.63,0,10.65,0,36.6,3.69,0,0,2103.07,0,3.41,1.16,0,4.63,12.37,2.79,0,0,76.11,5.67,0,0.93,0
108-118,0,0,13.7,0,13.15,1.78,0,272.7,0,0,2.92,444.61,0,0,0.65,2.8,1.08,0,0,0,49.4,0,1.44,4.05,2494.15,0.61,5.46,6.24,0,0,1.5,3.54,0,0,56.78,1.8,6.57,0,0
120,0,0,18.28,0,42.88,1.79,14.01,537.89,3.35,1.33,15.2,1297.4,2.14,0,4.22,0,3.86,0,0,0,129.24,0,0,10.64,7909.71,5.7,2,16.18,0,14.82,3.78,0,0,0,208.8,0,0,10.92,0
