stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,77.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,20.76,0,0,41.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.76,6.48,0,0,77.76,0,0,7.58,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,0,13.2,0,18.61,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.7,0,0,0,90.8,0,3.1,20.33,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,0.87,6.96,2.14,3.34,0,0,14.24,0,0,0,0,0,0,0,0,4.86,0,0,2.85,142.74,0,1.74,0.91,2.8,0,0,0,5.37,5.88,0,3.61,96.27,0,0,0,0,0
 24-34,0,0.75,0,1.77,0,9.31,0,0.89,14.23,0,0,0,0,0,0,0,0.62,7.79,0,0,8.75,311.11,0,5.73,4.52,0,0,0,0,0.85,2.53,0,1.37,118.65,0,0,1.53,0,0
 36-46,0,0,0,3.28,0,35.48,0.74,0,29.01,0,0.92,0,0,0,2.72,0,0,31.33,0,0,3.29,387.12,0,19.72,3.39,0,0,0,0,0,1.34,0,0,113.08,0,0,1.78,0,1.82
 48-58,0,0,0,0.6,0,86.24,0,1.34,37.79,0,0,0,1.11,0,0.48,0,0,32.67,0,0,5.07,385.92,0.39,8.84,1.81,0,0,0,0,0,0,0,0,56.62,0,0,1.6,0,0
 60-70,0,0.57,0,2.08,0,267.49,0.61,0,38.04,0,0.71,0,3.69,0,0,0,0,58.99,0,4.4,0.81,575.53,0,14.31,1.89,0,0,0,0,0,0,0,0,114.98,0,0,8.93,0.71,0
 72-82,0,0.61,0,4.68,1.75,236.95,0,5.71,42.91,2.64,0,0,0,3.21,0.64,0,0,58.36,0,0,5.43,401.51,0,11.07,3.94,0,3.34,0.56,0,0,0,1.07,0,50.05,2.32,2.18,12.54,3.5,0
 84-94,0,0,0,2.98,0,190.54,1.79,5,35.29,2.99,0,0,0.55,0,1.91,0,0.68,50.9,0,2.07,5.15,280.7,3.49,21.78,5.78,0,0,1.84,0,0,0,0,0,41.09,0,1.31,6.29,1.27,6.17
 96-106,0,2.48,0,5.14,18.8,200.97,0.9,3.18,52.17,0,0,0.7,2.4,0,8.76,0.59,0,48.53,1.62,5.33,1.01,307.37,0,21.56,8.89,0,0,1.18,0,0,0,0,0,55.17,2.05,0.75,3.07,1.41,0
108-118,0,0.85,0,8.96,1.09,148.55,0.42,1.4,44.54,2.51,0,4.34,0,2.91,3.42,0,4.66,50.26,0,3.45,2.94,450.05,0,13.25,18.7,0,1.97,0.6,0,0,0,0,0,10.37,3.18,0,5.72,0.57,1.51
120,0,0,0,5.02,2.33,143.78,1.06,1.29,18.77,0,0,14.34,0,0,4.1,0,0,18.94,0,0,6.08,618.14,0,22.98,7.76,0,7.89,0,0,0,0,0,0,3.36,0,12.13,0,0,1.16
