stage,epidermis,mesenchyme,neural,paraxial_mesoderm,periderm
  5-6,0,0,0,0,22.25
  7-9,0,0,11.3,3.9,35.42
 10-12,0,0,14.22,26.26,32.89
 14-21,0,0,0,0,25.39
 24-34,1.13,0,0.69,0,39.42
 36-46,0,0.73,1.78,0,6.43
 48-58,0,0,0,0,0.69
 60-70,0,0,0,0,1.69
108-118,0,2,0,0,0
