stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,480.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0
  5-6,101.27,801.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.26,16.76,0,71.52,0,0,53.1,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,556.91,0,0,0,250.22,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,7.63,0,20,0,0,60.7,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,677.18,16.87,0,0,154.88,0,0,0,0,12.96,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,10.6,2.01,8.76,0,0,9.38,0,0,0,0,0,0,0,0,0,14.21,0,0,7.03,146.33,14.33,0,0,1.95,0,3.92,0,13.91,0,8.06,64.42,0,0,0.91,0,0
 24-34,0,0,0,0,2.27,0,37.11,0,0,4.78,0.91,0,0,0,0,2.16,0.63,0,0,25.91,0,0,7.38,302.4,0.73,18.5,1.26,0,0,12.43,0,0,1.55,1.46,47.21,0,0,4.57,0,0
 36-46,0,0,0,0,1.16,0,70.51,0,0,16.49,0,0,0,0,0,0,0.57,0.57,0,23.13,0,0.86,4.63,233.38,1.33,30.63,0.72,0,0,16.27,0,0,3.85,0,51.37,0,0,0.94,0,19.86
 48-58,0,0,0,0,2.92,0,70.17,0,0.4,19.37,2.4,0,0,0,0.46,3.65,0,0,0.48,29.99,0,6.14,7.44,182.78,0.43,26.4,3.04,0,0,10.34,0,0,0,0,22.87,0,0,0.8,0,1.86
 60-70,0,0,0,0,1.79,0,69.08,2.54,1.17,12.84,0,0,0,0,0,0.85,0,0,0,24.41,1.53,0.98,3.58,163.74,0.75,30.92,0,0,0.71,5.92,0,0,0,0,15.49,0,0.67,3.13,0,3.58
 72-82,0,0,0,0,4.08,0,63.55,1.48,0.69,5.4,1.02,0,0,0,0,0,0,0,0,16.32,0,0,2.74,100.89,0,37.97,6.13,0,0,0.97,0,0,0,0,4.88,0,1.37,3.07,0.76,0
 84-94,0,0,0,0,6.52,5.12,39.69,0,0,12.89,1.21,0,1.59,2.71,0,0,0,0,0,22.59,0,0,0,102.28,0.57,54.88,9.94,0,0,9.35,0,0,0,0,5.44,1.17,0.77,1.82,0,0
 96-106,0,0,0,0,5.52,0,16.3,0.71,0.66,14.23,1.55,0,1.03,1.29,0.93,0,0,0,0,30.29,0,1.39,0,61.75,0.99,53.9,13.82,0,0,9,0,0,0,0,4.16,0,0.67,2.15,0,0
108-118,0,0,2.91,0,4.33,0,12.34,0,5.3,21.5,0.53,0,0,0.86,0.55,0,0,0.44,0,28.66,0,2.1,0.48,106.75,1.39,46.61,0,0,1.06,1.6,0,0,0,0,0.46,1.32,1.1,2.88,0,0
120,0,0,0,0,6.77,0,26.15,1.42,12.03,40.61,1.47,0,0,2.66,4.47,0,1.62,0,0,21.19,0,0,2.62,154.63,0,70.7,7.75,0,0,0,0,0,0,0,8.26,0,0,0,0,0
