stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,neural,periderm,pgc,spinal_cord,vasculature
  3-4,31.31,226.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.19,172.04,0,0,0,0,0,0,26.83,0,0,0,0,0,7.14,0,0,0
  7-9,0,0,0,0,0,4.63,0,0,0,0,0,0,0,37.52,0,0,0,0
 10-12,0,0,8.11,0,0,13.86,0,0,0,0,0,0,0,9.11,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.62,0,0,0.65,0
 36-46,0,0,0,0,0,0,0.76,0,0,0,0,0,0,1.14,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.79,0,0,0.53,4.51,0,0,8.06,0
 84-94,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.11,0,0,0,0,0,0,0.87,0,0,1.51,2.9,0,0,0
108-118,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0.79,0,0.58
120,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0
