stage,blastomeres,endoderm,epidermis,eye,glial,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,16.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0
 24-34,0,0,0,0,0,0,0,0,18.69,0,0,4.82,0,0,0.69,0.62
 36-46,0,0.56,12.9,0,0,0,0,0,5.12,0,0,26.83,0,0,0,0
 48-58,0,0,4.97,0.99,0.39,0,0,0,39.11,0,0,51.26,0,4.64,0,0
 60-70,0,0,0,3.18,0,0,0,3.27,35.65,0,0,0,0,1.44,0,0
 72-82,0,0,0,0,2.03,0,0,0,63.72,3.07,0,7.29,1.06,0,0,0
 84-94,0,0,0,24.29,0,0,0,0,40.02,0,0,6.85,0,0,2.08,0
 96-106,0,0,11.24,8.2,0,0.94,6.02,0,26.38,0,0,2.12,0,8.29,0,0
108-118,0,0,12.3,7.72,0,0,0,0,23.6,0,0.62,8.45,0,0,0,0
120,0,0,0,0,0,0,0,0,5.11,0,0,35.92,0,0,0,0
