stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,24.86,1281.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.12,0,0,0,0,0,0,0
  5-6,49.24,1175.78,0,0,0,0,0,0,0,0,0,0,0,132.26,0,0,0,17.14,17.83,0,0,0,0,0,0,0
  7-9,3.32,15.89,16.81,0,5.98,8.77,0,0,0,25.7,0,0,0,366.99,30.93,0,0,91.96,0,0,0,0,0,0,0,0
 10-12,4.89,10.8,16.04,0,4.69,25.4,0,0,0,4.74,0,0,0,460.63,50.64,0,0,160.54,0,9.03,0,27.85,0,0,0,0
 14-21,0,0,0.9,1.81,0,1.04,0,0,0,0,0,7.58,0.87,41.73,0,0,1.2,0,0,0,8.5,0,3.25,6.76,0,0
 24-34,0,0,0,1.44,0,4.64,0,0,0,0,0,2.24,0.76,50.26,0,0.77,1.14,0,4.2,0,0,0,0,8.75,0,2.01
 36-46,0,0,0,0,0,6.32,0,1.24,0,0,0,1.58,0.96,30.26,0,0,0,0,0,0,0,0,0,4.79,0,0.74
 48-58,0,0,0,3.98,0,6.43,0,2.29,0,0,0,2.67,0.38,24.14,0,0,0,0,1.07,0,0,0,0,4.5,0,0
 60-70,0,0,0,0.64,0,4.28,0,1.5,0,0,0,0.9,0,10.5,0,0,0,0,0.94,0,0,0,0,0.75,0.83,0
 72-82,0,0,0,1.93,0,6.29,1.25,1.03,0.64,0,0,8.62,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.47,0,2.4,0,0,0,2.64,1.53,13.36,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,12.9,0,3.95,1.16,0,0,9.27,0,0.58,0,0,0,0,1.13,0,0,0,0,0,0,1.06
108-118,0,0,0,1.62,0,1.52,0,1.61,0.59,0,0.42,0,0,8.67,0,2.23,0,0,0,0,0,0,0,1.08,0,0.48
120,1.12,0,0,0,0,1.56,0,2.04,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0
