stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2860.11,57532.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555.76,0,0,0,0,0,0,0,0,0,0
  5-6,4326.95,99462.84,0,83.81,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,1050.53,75.79,0,0,219.08,0,1292.98,0,0,0,0,0,0,0,0,0,0
  7-9,267.66,1233.6,0,6291.58,0,0,0,3968.11,0,0,0,0,0,169.75,0,0,0,0,0,0,0,0,0,0,0,45063.62,948.57,0,0,10187.3,0,70.81,34.71,0,0,0,0,0,0,0,0,0
 10-12,3.8,581.76,0,1933.48,0,0,0,2215.02,0,0,0,0,0,46.85,0,0,0,0,0,18.67,0,0,0,0,0,20673.07,308.17,0,0,12039.61,0,7.12,20.12,39.8,305.02,0,54.59,82.46,0,0,0,0
 14-21,0,16.92,1.38,0.81,96.59,107.16,0,584.91,0,0,0,587.3,0,13.63,1.63,16.12,0,1.48,0,0,1.87,72.2,0,0,72.91,14436.51,15.46,0.85,84.74,75.58,0,3.64,0,1577.51,10.22,11.59,348.69,7474.75,0,39.27,0,0.84
 24-34,0,0.83,0,0.64,53.06,32.38,0,1069.69,0.72,7.55,5.2,643.71,1.3,1.85,4.6,36.38,4.2,9.37,0,2.15,3.21,178.74,0.86,0.91,73.44,25199.01,6.42,10.48,26.01,0,0,38.54,0,0.71,9.9,7.22,227.35,8528.37,0,222.83,0,2.7
 36-46,0,0,0,0,36.19,0,0,1470.05,0,7.82,26.66,1446.71,0,0,0,48.4,4.42,0.56,4.41,16.92,2.69,268.49,0,2.14,47,24087.32,11.92,6.19,16.86,0,0.97,60.04,0,0,3.31,7.13,0.83,10937.17,0,96.14,3.1,2.1
 48-58,0,0,0,0,29.48,7.67,0,1326.76,7.02,16.98,19.83,1845,0,0,13.84,65,15.22,10.72,0,0,6.86,348.36,0,18.46,40.55,7158.78,0,4.51,18.92,0,0.47,26.73,0.65,0,0,0,0,5485.7,0.85,73.01,0,18.23
 60-70,0,0,0,0,7.77,13.33,0,682.03,0,0,9.51,1551.63,0,0,1.19,76.97,0,0,0,0.87,0,326.43,0,18.79,10.97,2189.25,5.95,0,36.2,0,5.94,3.76,0,0,5.9,0,0,1780.8,5.48,59.46,0.96,1.66
 72-82,0,0,0,0,16.08,70.33,0,328.49,2.13,0,14.14,748.88,0,0,0.79,123.71,0,6.28,0,0,0,431.75,0,6.68,6.39,824.16,0.55,2.41,10.3,0,5.85,3.78,0,0,0,0,0,266.11,5.07,78.37,1.91,0
 84-94,0,0,0,0,10.59,67.9,0,261.24,0,0.63,0,472.7,0.71,0,2.79,161.42,0,1.82,0,0,0,297.48,0,11.07,15.1,656.34,0,0,3.39,0,2.62,0,0,0,0,0,0,252.72,4,74.79,2.35,0
 96-106,0,0,0,0,22.6,118.98,0,286.22,0,1,5.09,564.19,1.52,0,4.33,151.67,0,0,0,15.53,0,259.66,0,3.35,14.17,545.56,0,3.88,3.14,0,9.09,0,0,0,1.4,0,0,73.19,2.79,85.62,3.16,0
108-118,0,0,0,0,9.31,138.79,6.12,237.57,0,0.72,3.23,673.75,2.36,0,0.43,147.59,0.47,5.13,0,3.47,0,235.65,0,3.16,6.42,786.45,0,0.68,4.22,0,11.18,8.75,0,0,0.49,0,0,48.02,8.33,70.99,2.17,0
120,0,0,0,0,9.66,176.7,0,170.69,0,1.44,2.45,724.3,0,0,0,245.64,0,1.11,0,0,0,243.19,0,19.81,9.28,773.44,0,3.36,19,0,36.71,5.38,0,0,0,0,0,60.56,10.65,96.49,0,0
