stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.75,805.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0
  5-6,30.11,343.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.39,0,12.42,0,0,0,28.3,0,0,0,0,0,19.79,0,0,0,0,0,0,0,0,0,0,0,113.83,0,0,0,36.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,7.74,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.59,15.87,0,0,29.43,0,0,0,0,0,3.28,0,0,0,0
 14-21,0,0,1.23,1.01,18.18,10.69,0,10.28,0,0,0,1.06,0,0,4.02,0,0.83,0,0,0,0,3.98,0,0,3.94,119.91,0.9,0.92,0,1.8,4.68,20.44,4.52,0,17.25,29.52,0,6.29,0,0
 24-34,0,0,0,0,7.57,10.89,0,44.54,0,2.24,1.42,14.97,1,0,0,0.73,3.62,0,1.46,0,0.98,29.18,1.47,0.82,14.48,513.57,1.65,1.63,0,0,40.96,0,2,0,5.35,102.54,0,22.61,0,1.88
 36-46,0,0,0,0,30.47,3.24,0,55,2.03,2.68,4.2,10.3,0.67,0,0,0.67,13.64,1.48,0,0,1.44,22.75,1.07,3.09,3.46,367.17,1.85,0,9.08,0,60.66,0,0.86,3.61,0,39.06,0,3.95,0,3.36
 48-58,0,0,0,0,15.38,10.47,0,111.89,6.09,5.49,0.4,19.51,3.46,2.08,0,9.01,0.55,0,0.46,0,12.63,35.57,0,0.66,10.17,293.91,0,6.86,5.89,0,17.69,0,1.47,0,0,27.79,0,1.88,0,3.07
 60-70,0,0,0,0,14.34,1.24,0,187.45,0,9.52,5.57,7.24,2.72,2.2,0,9.67,6.37,9.94,0.69,0,0,39.75,0.63,1.09,0.99,260.63,3.91,12.06,8.34,0,27.93,0,7.43,1.58,0,18.37,0,1.05,0.81,0
 72-82,0,0,0,0.56,6.52,6.12,0,59.28,0,0,4.63,28.48,1.87,0,0,0.6,0.83,0,1.07,0,0,42.75,0,0.94,4.17,140.63,0,0.74,0,0,18.3,0,0,0,0,11.64,0,5.04,1.33,0
 84-94,0,0,0,0,5.63,4.96,0,48.91,0,0.74,0,6.26,1.46,0.76,0,3.77,0.83,0,7.4,0,2.16,38.45,0,0,2.11,54.49,0,4.44,1.33,0,20.24,0,1.21,0,0,3.8,2.23,1.91,2.54,0
 96-106,0,0,0,0,3.05,10.37,0,40.1,0.93,0,0,15.85,0.71,0,0,0.79,0,0,2.39,5.65,0,9.66,2.56,0,0,29.33,0.7,1.99,1.76,0,18.4,0,0,0,0,9.91,0,2.68,0,0
108-118,0,0,0,0,12.46,8.49,8.84,40.35,0,2.29,4.49,13.84,2.58,0,0,6.95,3.82,0,2.83,0.5,0.52,31.29,0,0,6.5,91.46,0,4.91,7.51,0,19.37,0,1.41,0.43,0,0.48,0.42,0.88,0.5,1.55
120,0,0,0,0,30.57,38.5,0,120.44,24.63,2.92,0,103.08,1.68,0,0,48.97,2.36,6.92,0,2.14,0,74.63,15.2,6.76,22.51,232.91,1.17,7.37,2.92,0,55.5,0,4.64,0,0,21.98,0,20.19,0,0
