stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,0,0,0,11.47,0,0,0,0,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,3.61,0,0,2.85,0.81,0,0,1.19,0,2.79,0.89,1.75,0,0,0,0
 24-34,0,0,0.63,0,0,0.6,0,0,0,0,0,0,0,1.12,0,0,0,3.6,0,0,20.91,0,1.34,0,0,2.87,0,0,2.69,0,0,0,0
 36-46,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,19.18,0,0,9.47,0,3.56,0,0,1.37,0,0,0,0
 48-58,0,0,0,0.56,0,6.99,0,0,0,0.82,0,0,0,0,0,0,0,0.38,0.49,0,6.44,0,0.56,0,0,6.02,0,0,3.95,0,0,0,0
 60-70,0,0,0,0,0,12.06,0,2.33,9.29,0.98,1.86,0,2.96,0,0,0,0,9.58,0,0,17.15,0,0,0,0,8.3,0,0,1.1,0,1.05,0,0
 72-82,0,0,0,0,0,2.45,0,0,0,2.92,0,0.86,1.58,0,0,0.79,0,6.71,0,0,5.88,0,1.09,0,0,8.03,0,0,0,0,0,0,0
 84-94,0,0,0,5.96,0,0,0,0,0,0,0,0,3.24,1.16,0,0.8,0,1.68,0,0,9.94,0,1.57,0,0,40.19,0,1.26,0,0.71,0,0,9.86
 96-106,0.87,0,0.62,0,0,3.58,0,0,0,1.96,0,0,1.21,0,0,0.75,0,0.75,3.08,2.14,12.64,0,0,0,0,10.54,0,1.71,0,0,0.61,0,0
108-118,0,0,2.92,0,2.23,4.95,0,0.59,0,4.18,1.17,0,1.93,0,0,0,0,1.32,1.02,0,19.32,0,0,1.03,0,22.3,0,0,0,0,1.46,1.64,3.74
120,0,1.66,4.4,0,2.68,0,2.05,0,0,0,1.19,0,2.88,2.19,6.33,0,9.24,15.22,0,0,12,6.22,0,0,0,13.12,0,4.37,0,1.37,0,0,0
