stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,4.75,0,0,4.24,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.13,5.46,0,0,0,0,0
 14-21,0.83,0,0,0,0,0,0,0,1.77,3.72,0,0,0,0,0.95,1.77
 24-34,0.66,0,2.18,0,0,0,0,0.64,0,13.07,0,0.84,0,0,0,0.61
 36-46,0.56,0,0.88,1.27,0,0,0,0.86,0,2.2,0,0,0,0,0,1.26
 48-58,0,0,1.14,0,0,0,0,0.44,0.57,1.36,0,0,0,0.62,0,0.73
 60-70,0,0,1.2,0,0,0,0.62,2.3,0.84,6.62,0,1.23,0,0,0,1.23
 72-82,0.71,4.42,0,1.25,0,0.5,0,7.32,0,3.03,0,0,0,0,0,0
 84-94,0,0,2.05,0,0,0.59,0,7.99,0.86,7.03,0,0,0,2.7,0,0
 96-106,0,0,0,0,0,0.78,0,5.36,0,0.72,0,0.68,0,1.48,0,0
108-118,0,0,0.57,1.62,1.01,2.15,0,10.27,1.51,9.07,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0
