stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,0,10.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,20.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,2.01,0,0.94,0,0,0,2.21,0,0,0,0,0,0.86,0,2.63,0,0,4.62,1.34,0,0,0,0,0,0,0.98,0,0,0,0,0
 24-34,0,0,1.24,1.43,0,7.53,0,0,0,4.07,0,2.54,0,0,0.63,0,0,8.18,0.95,0,4.5,6.93,0,0,0,0,1.33,3.38,4,0,0,9.48,0,0
 36-46,0,0,0.56,6.04,0,36.96,0,0.57,0,3.19,0,0.75,0,0,0,5.5,7.12,17.31,0,0.86,7.62,21.51,0,0,0,0,0,2.69,7.89,0,0,2.98,0,0
 48-58,0,0,0,0.42,0,26.89,0,0.41,0,3.46,0,0.71,0,5.32,0,5.39,0.41,33.82,0,0.46,2.5,19.71,0,0,0,0,0,5.85,1.52,0,0,9.47,0,0
 60-70,0,0,0,1.35,0,92.15,0,0,1.92,4.26,0,0,0,4.51,0,0,0,88.28,0,0,5.51,10.06,0,0,0,0,0,1.49,6.89,0,0,10.92,0,0
 72-82,0,0,0,4.35,0,106.67,0,5.43,2.27,6.52,0.59,0,0,1.65,0,0,0,141.41,0,0,3.28,40.46,0,0,0,0,2.63,1.73,7.9,0,0.75,19.64,1.24,0
 84-94,0,0,0,12.44,0,267.44,0,4.46,2.4,9.36,0,0,0,3.45,0,1.69,0,95.52,0,0.65,6.18,2.71,0.6,2.01,0,0,2.23,3.65,8.4,0,0,7.14,0,0
 96-106,0,0,0.72,8.22,0.71,253.2,1.74,5.2,7.24,8.92,0,0,0.58,8.16,0,0,0,107.74,0,0,6.74,13.22,0,0.68,0,0,0.68,0.57,7.48,0,0,9.99,0,5.48
108-118,0,0,0,1.87,0.55,367.09,3.78,7.46,3.78,12.21,0,0,3.57,24.4,0,13.25,0,142.35,0,1.03,4.58,51.01,0.71,4.63,0,0,0,1.54,10.45,0.89,0,17.77,0,0
120,0,0,4.41,18.35,0,221.13,0,11.99,2.7,14.53,0,0,0,12.63,0,11.95,1.64,223.25,0,0,3.61,29.94,1.8,0,0,5.9,1.44,4.24,0,0,2.24,15.19,0,0
