stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,181.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,85.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,6.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,2.18,0,0,0,0
 24-34,0,0,0,0,1.28,0,2.51,0,0,0,0,0,0,0,0,0,173.67,0,10.89,0.95,0,0,0,28.24,0,0,0,0
 36-46,0,0,0,0,0,0,16.34,3.37,0,0,0,0,0,0.6,0,0,255.79,0,9.68,0.61,0,0,0,37.5,0,0,0,0
 48-58,0,0,0,0,0,0.69,31.81,2.34,0,0,0,0,0,0.73,0,0,319.16,0.41,2.12,0,0,0,0,38.02,0,0,0,0
 60-70,0,0,1.39,0,0.71,0,21.9,4.94,0,0,0,0,2.17,4.98,0,0,443.15,0,0,0,0,0,0,48.79,0,0,0,0
 72-82,0,0,3.2,0,1.52,0,35.6,3.54,2.98,0.9,0,0,0,3.14,0,0,653.73,0,1.48,0.66,0,0,2.8,59.17,0.82,0,4.08,0
 84-94,0,0,4.72,0,6.58,0,74.33,13.71,0.84,0,0,1.56,4.01,5.42,0,2.96,473.79,0,5.66,0,0,0.99,0,21.56,0,0,0,0
 96-106,0,0,2.67,0,5.2,1.48,75.39,19.55,0,0,1.12,0,3.95,9.8,0.76,0,557.18,0,0.59,1.39,0,0,0,40.63,0,0,0,0.62
108-118,0,0,6.43,0.74,4.18,0,60.35,12.09,0.67,0,0,0,2.58,2.67,0,0,541.91,0,3.2,0.82,0,0.44,0,43.07,0.68,3.84,3,1.26
120,0,0,3.52,0,1.33,0,167.3,0,0,0,3.53,0,4.44,13.71,0,0,1022.19,5.7,0,0,0,0,0,61.36,0,0,5.12,0
