stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,227.89,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0
  5-6,77.86,808.43,0,0,0,0,0,17.63,0,0,0,18.98,7.71,23.02,0,0,0,0,0
  7-9,0,9.89,4.95,0,17.92,0,0,9.91,0,0,393.79,0,110.49,0,0,13.28,0,0,0
 10-12,0,0,0,0,13.66,0,0,0,0,0,125.23,0,77.74,0,6.79,21.32,0,0,0
 14-21,0,0,0,1.43,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,0,0,0,3.84,0,0,0,0,0,0.61,0.81,0
 36-46,0,0,0,0,0,0,0.78,0,1.24,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.38,0.54,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.89,0,0,1.69,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.42,0,0,7.35,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,1.1
