stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.71,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,7.25,0,0,0,0,84.84,1.32,1.13,12.02,38.47,3.72,0,0,0,0,0
 24-34,0,0,1.83,0,1.92,0,0,0,0.68,0,0,0,0,0,0,0,0.78,1.33,2.11,20.56,0,0,0,0,435.44,0,2.95,0.76,7.68,4.35,0,0,0,0,0.77
 36-46,0,0,1.16,0,1.94,0,1.74,0,0,0,0,0,0.79,0,0,0,0.56,2.6,0.95,9.49,0,0,0,0,548.45,0,0,0,0,6.19,0,0,0,0,0
 48-58,0,0,10.85,0,2.49,0,7.31,0,2.59,0.44,0,0,0,0,0,0,3.69,6.61,2.09,25.17,0.5,0,2.29,0,703.44,0,0,0,0,3.65,0,0,0,0,13.54
 60-70,0,0,4.91,0,3.07,0,25.93,0,0.66,0,0,0,1.66,0,0,0,0.73,3.69,0,19.34,0,0,0,0,917.97,0,0.6,0,0,3.35,0,0,0,0,0
 72-82,3.39,0,38.73,0.58,14.66,0,39.71,1.36,0,4.49,0,3.31,6.08,0,0,0,3.85,17.72,0,38.28,0,0,0.56,0,1160.15,0,1.41,0,0,2.48,1.16,0,0,1.37,0
 84-94,0.81,0,56.48,0,12.68,0,58.75,0,0,5.93,0,1.25,14.41,0,0,9.96,9.77,18.76,0,20.46,0,0,0,0,2530.22,0,5.88,0,0,0,1.32,1.47,0,0,0
 96-106,3.23,0,120.48,11.68,19.06,0.62,75.69,0,22.35,5.13,0.96,4.92,34.36,1.14,0.63,17.39,8.05,38.27,3.45,61.6,0,0.63,0,0,2457.43,0,2.11,0.69,0,0.64,11.25,0.88,2.92,1.43,0
108-118,0,0.63,150.72,0,23.93,0,129.66,0,13.53,5.49,0,2.29,38.07,0,0.98,1.1,11.45,44.09,0.98,65.38,0,0,0.54,0,1997.92,0,5.33,0,0,2.28,5.01,0,2.47,0,0
120,0,0,139.81,4.13,21.89,0,88.96,0,4.45,6.89,0,1.26,21.68,0,2.39,0,5.56,20.88,1.86,49.41,0,13.79,0,0,1035.65,0,2.25,0,0,2.02,0,0,0,1.05,8.45
